字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
W,6,"王妃","萧敬腾",,红色,分开,403 + 635、405 + 635,B - 一轨单点、四轨单点^^^B - 一轨长条开始,B - 二轨单点、三轨单点^^^B - 二轨长条结尾,281,743,76 + 0.0,635,B - 一轨长条开始,B - 二轨长条结尾,281,743,1293912,39 + 0.4
B,8,"Bubble Pop!","泫雅",,,分开,401 + 471,B - 三轨单点^^^B - 二轨长条结尾、三轨长条开始,B - 二一轨滑键^^^B - 一二轨滑键、三四轨滑键,364,786,72 - 0.4,401,B - 三轨单点,B - 二一轨滑键,364,786,1662549,37 - 0.5
,,"有点甜","汪苏泷 / BY2",,红色,分开,89 + 218,A - 三轨单点^^^B - 三轨单点,A - 一轨单点^^^B - 一轨长条右滑、四轨长条左滑,177,397,62 + 0.2,218,B - 三轨单点,B - 一轨长条右滑、四轨长条左滑,177,397,950964,34 + 0.1
,,"Rage Your Dream","M.O.V.E",,红色,分开,392 + 511、393 + 511,B - 一轨单点^^^B - 一轨长条结尾、四轨单点,B - 三四轨滑键^^^B - 二轨长条结尾、四轨长条开始,328,605,63 + 0.3,511,B - 一轨长条结尾、四轨单点,B - 二轨长条结尾、四轨长条开始,328,605,1240931,33 - 0.1
K,6,"KNOCK KNOCK","TWICE",,红色,分开,99 + 235,A - 二轨单点、三轨单点^^^B - 二轨长条开始,A - 二轨单点^^^B - 三轨长条左滑,143,444,62 + 0.1,235,B - 二轨长条开始,B - 三轨长条左滑,143,444,1090955,32 + 0.4
N,8,"narrative","泽野弘之/LiSA",,,分开,932 + 1155、936 + 1155,B - 一轨长条中间^^^B - 一轨长条右滑、四轨单点,B - 一轨单点、三轨长条右滑^^^B - 二轨长条中间、四轨长条中间,593,1333,93 - 0.4,1155,B - 一轨长条右滑、四轨单点,B - 二轨长条中间、四轨长条中间,593,1333,2088879,48 + 0.0
,,"克罗地亚狂想曲","马克西姆",,,分开,466 + 757、466 + 759、467 + 757、467 + 759、468 + 757、468 + 759、469 + 757、469 + 759、470 + 757、470 + 759,A - 一轨单点^^^B - 四轨单点,A - 一轨单点^^^B - 二轨长条右滑,536,1058,92 - 0.5,757、759,B - 四轨单点,B - 二轨长条右滑,536,1058,2559473,47 - 0.3
,,"Doraradora","Fujigami Mai",,,分开,470 + 544、470 + 546,B - 二轨单点^^^B - 一轨单点、四轨长条结尾,B - 三轨单点^^^B - 二轨长条结尾、三轨单点,300,634,62 + 0.3,544、546,B - 一轨单点、四轨长条结尾,B - 二轨长条结尾、三轨单点,300,634,1304421,34 + 0.0
,,"Flower Dance","DJ OKAWARI",,红色,分开,77 + 204,A - 三轨长条开始^^^B - 二轨长条开始,A - 二轨单点、三轨单点^^^B - 二轨单点、三轨单点,128,278,46 + 0.0,204,B - 二轨长条开始,B - 二轨单点、三轨单点,128,278,548934,23 + 0.0
S,9,"Sparkling Daydream","ZAQ",100,,分开,338 + 979,A - 二轨长条开始、三轨长条开始^^^B - 一轨单点,A - 四轨单点^^^B - 四轨单点,639,1450,112 - 0.3,338,A - 二轨长条开始、三轨长条开始,A - 四轨单点,639,1450,2801436,56 + 0.3
Q,8,"七年的爱","金贤政",20、50,红色,分开,349 + 573、351 + 573,B - 一轨单点、三轨单点^^^B - 四轨长条开始,B - 一轨单点、四轨单点^^^B - 二轨单点、三轨单点,242,708,101 + 0.1,573,B - 四轨长条开始,B - 二轨单点、三轨单点,242,708,1458011,57 + 0.3
,,"非酋","薛明媛/朱贺",,红色,分开,79 + 190,A - 四轨单点^^^B - 一轨单点,A - 二轨单点^^^B - 三轨长条右滑,130,310,53 - 0.2,190,B - 一轨单点,B - 三轨长条右滑,130,310,821171,27 - 0.2
,,"让我心动","Apink",,红色,分开,341 + 441,B - 三轨单点^^^B - 三轨单点,B - 二轨单点^^^B - 一轨长条结尾、四轨长条结尾,216,502,51 + 0.3,341,B - 三轨单点,B - 二轨单点,216,502,939578,26 + 0.0
,,"勋章","鹿晗",,红色,分开,117 + 145、117 + 146、117 + 152,B - 一轨单点^^^B - 二轨单点,B - 二轨单点^^^B - 三轨单点,74,188,40 - 0.5,135,B - 四轨单点,B - 二轨单点,74,188,471910,21 - 0.5
,,"123我爱你(困难版)","新乐尘符",50,,分开,670 + 974、670 + 976、673 + 974、673 + 976、676 + 974、676 + 976,B - 一轨单点、四轨长条中间^^^B - 一轨单点,B - 一轨长条右滑、五轨长条中间^^^B - 三轨长条结尾、四轨单点,594,1178,99 - 0.5,670、673、676,B - 一轨单点、四轨长条中间,B - 一轨长条右滑、五轨长条中间,594,1178,2370717,50 + 0.2
B,6,"Boys","Charli XCX",,红色,分开,352 + 416,B - 四轨单点^^^B - 四轨单点,B - 一轨长条右滑^^^B - 一轨长条结尾,284,580,55 + 0.3,353,B - 二轨长条开始,B - 四轨单点,284,580,1071996,29 + 0.0
,,"望","张碧晨/赵丽颖",,红色,分开,492 + 582,B - 三轨长条开始^^^B - 二轨长条左滑,B - 一轨单点、三轨单点^^^B - 一轨长条结尾、三轨长条结尾,234,680,81 + 0.2,582,B - 二轨长条左滑,B - 一轨长条结尾、三轨长条结尾,234,680,1298089,42 + 0.4
,,"萤火","TFBOYS",,红色,分开,148 + 424,A - 一轨长条中间^^^B - 四轨长条开始,A - 一轨单点、三轨单点^^^B - 二轨单点、三轨单点,265,569,74 - 0.3,148,A - 一轨长条中间,A - 一轨单点、三轨单点,265,569,1162885,44 - 0.4
C,9,"Colourful","Virginia To Vegas",,,分开,320 + 913,A - 二一轨滑条、四轨长条左滑^^^B - 一轨长条右滑、三四轨滑条,A - 二轨长条中间、四轨长条中间^^^B - 一轨长条中间、三轨长条中间,624,1288,98 + 0.0,320、913,A - 二一轨滑条、四轨长条左滑,A - 二轨长条中间、四轨长条中间,624,1288,2100764,49 + 0.0
,,"触动心触动爱","BY2",,红色,分开,155 + 287,B - 一轨长条开始^^^B - 四轨长条中间,B - 三四轨滑键^^^B - 二一轨滑键,142,324,55 - 0.3,155,B - 一轨长条开始,B - 三四轨滑键,142,324,763827,28 - 0.5
,,"Firefly","Abba Teens",,红色,分开,637 + 891、647 + 891、657 + 891,B - 三轨长条左滑、五轨长条左滑^^^B - 一轨长条开始、三轨长条开始,B - 二轨长条右滑、四轨长条右滑^^^B - 二轨单点、四轨单点,438,1021,108 - 0.2,891,B - 一轨长条开始、三轨长条开始,B - 二轨单点、四轨单点,438,1021,1784742,54 + 0.4
S,6,"Synchronise","INFINITE",,红色,分开,243 + 781、641 + 781,A - 一轨长条开始、三轨长条开始^^^B - 二轨单点、四轨单点,A - 四轨单点^^^B - 二轨长条左滑,423,901,79 - 0.5,781,B - 二轨单点、四轨单点,B - 二轨长条左滑,423,901,1333876,41 - 0.4
,,"DAY BY DAY","T-ara",,红色,分开,213 + 309,B - 二轨长条开始、三轨长条开始^^^B - 一轨单点,B - 一轨单点^^^B - 二轨单点、四轨单点,164,354,60 + 0.0,213,B - 二轨长条开始、三轨长条开始,B - 一轨单点,164,354,950329,31 + 0.0
,,"Talk Dirty","Jason Derulo/2",,红色,分开,103 + 287、103 + 288、104 + 287、104 + 288、105 + 287、105 + 288、106 + 287、106 + 288、120 + 287、120 + 288,A - 四三轨滑键^^^B - 四轨长条结尾,A - 四三轨滑键^^^B - 二轨单点、三轨单点,225,352,42 + 0.1,287、288,B - 四轨长条结尾,B - 二轨单点、三轨单点,225,352,652833,22 - 0.5
L,9,"L.I.E","EXID",,红色,分开,76 + 213,A - 三轨单点^^^A - 一轨长条开始,A - 四轨单点^^^A - 一轨单点,413,696,91 - 0.5,76,A - 三轨单点,A - 四轨单点,413,696,1674589,48 - 0.4
Y,9,"一吻天荒","胡歌",20、100,,分开,672 + 1183,B - 一轨长条中间、四轨长条中间^^^B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点^^^B - 二一轨滑键、三四轨滑键,465,1660,125 + 0.3,1183,B - 二轨长条中间、三轨长条中间,B - 二一轨滑键、三四轨滑键,465,1660,2517271,63 + 0.1
,,"Try Everything","Shakira",,红色,分开,138 + 617,A - 四轨长条左滑^^^B - 一轨长条开始、四轨长条开始,A - 二轨长条结尾、三轨长条结尾^^^B - 一轨长条中间、四轨长条结尾,422,740,76 - 0.4,138,A - 四轨长条左滑,A - 二轨长条结尾、三轨长条结尾,422,740,1409769,40 + 0.0
Y,8,"月光传说","桃色幸运草Z",,,分开,152 + 379、152 + 382、152 + 622、152 + 625、155 + 379、155 + 382、155 + 622、155 + 625、379 + 622、379 + 625,A - 二轨单点^^^B - 三轨单点,A - 三轨单点^^^B - 二轨单点,299,769,79 - 0.4,152、155、379、382、622、625,A - 二轨单点,A - 三轨单点,299,769,1546871,39 + 0.3
,,"第一次爱的人","王心凌",,红色,分开,138 + 276,A - 四轨单点^^^B - 二轨长条开始、三轨长条开始,A - 一轨长条结尾、四轨长条结尾^^^B - 一轨单点、三轨单点,203,458,53 + 0.1,276,B - 二轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,203,458,758597,27 + 0.3
C,9,"Candy Pop","TWICE",,红色,分开,395 + 933,A - 一轨长条开始、四轨长条左滑^^^B - 二轨单点、三轨单点,A - 二轨长条结尾、三轨长条结尾^^^B - 二轨长条右滑、四轨长条结尾,483,1160,102 + 0.0,933,B - 二轨单点、三轨单点,B - 二轨长条右滑、四轨长条结尾,483,1160,2041162,55 - 0.1
,,"歌谣","李荣浩",,红色,分开,381 + 500、381 + 501,B - 二轨单点^^^B - 二轨单点,B - 一轨长条结尾、三轨长条结尾^^^B - 一轨单点、三轨长条结尾,278,638,74 - 0.1,500、501,B - 二轨单点,B - 一轨单点、三轨长条结尾,278,638,1391846,37 + 0.0
,,"Wind flower","MAMAMOO",,,分开,186 + 444、186 + 445、186 + 446、187 + 444、187 + 445、187 + 446、188 + 444、188 + 445、188 + 446,A - 一轨单点^^^B - 四轨单点,A - 三轨单点^^^B - 二轨单点,296,587,60 + 0.2,186、187、188、444、445、446,A - 一轨单点,A - 三轨单点,296,587,1164834,30 + 0.1
B,9,"Butter Fly","和田光司",,,分开,794 + 922,B - 二轨长条开始、三轨长条开始^^^B - 二轨长条开始、三轨长条开始,B - 一轨长条中间、四轨长条中间^^^B - 一轨长条结尾、四轨长条结尾,643,1381,105 - 0.4,794,B - 二轨长条开始、三轨长条开始,B - 一轨长条中间、四轨长条中间,643,1381,2475274,53 - 0.5
D,10,"Dura","Daddy Yankee",100,,分开,738 + 795,B - 二轨长条左滑、四轨单点^^^B - 一轨单点、三四轨滑条,B - 二轨单点、四轨长条左滑^^^B - 二一轨滑键、四轨单点,489,1217,94 - 0.3,779、784,B - 一轨单点、三四轨滑条,B - 二一轨滑条、四轨单点,489,1217,3096350,49 - 0.5
,,"Sky","Steerner",,红色,分开,87 + 532,A - 一轨单点^^^B - 二轨长条开始、四轨长条结尾,A - 一轨长条右滑、四轨长条左滑^^^B - 二轨长条结尾、三轨长条右滑,234,733,90 + 0.3,532,B - 二轨长条开始、四轨长条结尾,B - 二轨长条结尾、三轨长条右滑,234,733,1377350,47 + 0.1
R,9,"Rookie","Red Velvet",,,分开,251 + 456、456 + 720,A - 二轨单点、四轨长条开始^^^B - 一轨长条开始、三轨单点,A - 一轨单点^^^B - 一轨单点,350,892,84 - 0.1,456,B - 一轨长条开始、三轨单点,B - 一轨单点,350,892,1870850,42 + 0.2
,,"Just Dance","王一博",,红色,分开,156 + 434,A - 一轨长条开始^^^B - 四轨单点,A - 四三轨滑键^^^B - 二一轨滑键,244,524,65 - 0.5,434,B - 四轨单点,B - 二一轨滑键,244,524,1199247,34 - 0.5
S,6,"斯诺克","付辛博",,,分开,110 + 285、118 + 285、119 + 285,A - 二轨单点^^^B - 三轨单点,A - 一轨单点^^^B - 三轨单点,226,515,57 + 0.0,110、118、119、285,A - 二轨单点,A - 一轨单点,226,515,1084292,29 - 0.5
,,"吸引定律","Awaken-F",,红色,分开,120 + 330,A - 一轨单点^^^B - 二轨单点,A - 三轨单点^^^B - 三轨单点,197,413,50 + 0.1,330,B - 二轨单点,B - 三轨单点,197,413,798448,25 + 0.1
,,"Crossing Field","LiSA",50,,分开,1656 + 1830,B - 二一轨滑条、四五轨滑条^^^B - 二轨单点、四轨单点,B - 一轨长条结尾、三轨长条结尾^^^B - 一轨单点、三轨单点,903,2047,134 - 0.4,1830,B - 二轨单点、四轨单点,B - 一轨单点、三轨单点,903,2047,3029820,70 - 0.2
X,6,"炫舞国度","BOX.COM",,红色,分开,109 + 340,A - 二一轨滑条^^^B - 三四轨滑条,A - 四轨长条左滑^^^B - 二轨长条左滑,273,533,67 + 0.4,340,B - 三四轨滑条,B - 二轨长条左滑,273,533,1232029,35 + 0.4
,,"给我一个理由忘记","A-Lin",,红色,分开,467 + 676,B - 四轨长条中间^^^B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条右滑、四轨长条左滑,347,953,84 + 0.4,676,B - 一轨长条中间,B - 一轨长条右滑、四轨长条左滑,347,953,1537487,47 - 0.4
T,6,"Timber","Pitbull",,红色,分开,403 + 505、404 + 505、405 + 505、406 + 505、407 + 505,B - 三四轨滑键^^^B - 四轨单点,B - 一轨单点^^^B - 一轨长条结尾、四轨单点,203,592,90 - 0.4,505,B - 四轨单点,B - 一轨长条结尾、四轨单点,203,592,1407075,48 - 0.2
,,"淘汰","陈奕迅",,红色,分开,351 + 438,B - 二轨单点、三轨单点^^^B - 一轨单点、四轨单点,B - 四轨长条中间^^^B - 三轨长条中间,253,598,68 + 0.0,438,B - 一轨单点、四轨单点,B - 三轨长条中间,253,598,1005030,37 - 0.4
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,分开,406 + 458、406 + 459、406 + 460、406 + 461、406 + 462、406 + 463、406 + 464、406 + 468、406 + 470、406 + 474,B - 三轨长条左滑^^^B - 二轨单点,B - 一轨单点^^^B - 四轨单点,238,649,84 - 0.4,406,B - 三轨长条左滑,B - 一轨单点,238,649,1910310,43 - 0.4
,,"狂欢夜","QQ炫舞原创",,红色,分开,247 + 469,B - 一轨单点^^^B - 一轨单点,B - 三轨长条左滑^^^B - 一轨单点、四轨长条结尾,160,524,64 + 0.2,469,B - 一轨单点,B - 一轨单点、四轨长条结尾,160,524,1028245,32 + 0.4
R,9,"Rolling Star","YUI",20,红色,分开,97 + 1164,A - 一轨单点^^^B - 三轨长条左滑,A - 二轨长条结尾、三轨长条结尾^^^B - 一轨长条右滑、三轨长条右滑,585,1278,102 - 0.4,1164,B - 三轨长条左滑,B - 一轨长条右滑、三轨长条右滑,585,1278,1983193,54 + 0.2
,,"SHIORI","ClariS",50,,分开,383 + 1274、383 + 1277、383 + 1279、390 + 1274、390 + 1277、390 + 1279、403 + 1274、403 + 1277、403 + 1279、1077 + 1274,A - 一轨长条右滑、五轨单点^^^B - 四轨长条右滑,A - 二轨长条左滑、四轨单点^^^B - 一轨单点、五轨长条中间,539,1420,133 + 0.1,1274、1277、1279,B - 四轨长条右滑,B - 一轨单点、五轨长条中间,539,1420,2882597,67 - 0.1
H,7,"坏掉的大人","陈势安",,,分开,273 + 638,A - 一轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 三轨单点,354,757,59 + 0.0,273、638,A - 一轨单点,A - 二轨单点,354,757,1541221,30 - 0.5
W,7,"我要给世界最悠长的湿吻 Kisses For The World","蔡健雅",,,分开,362 + 945、362 + 949、362 + 951、363 + 945、363 + 949、363 + 951、363 + 945、363 + 949、363 + 951、364 + 945,A - 三轨长条中间^^^B - 一轨长条右滑、四轨单点,A - 一轨单点、三轨长条左滑^^^B - 一轨长条右滑、四轨单点,552,1070,89 + 0.0,362、364、945、949、951,A - 三轨长条中间,A - 一轨单点、三轨长条左滑,552,1070,1718297,45 - 0.5
,,"Brave Heart","宮崎歩",,红色,分开,238 + 735、735 + 833,A - 二一轨滑条^^^B - 二一轨滑条,A - 四轨单点^^^B - 二轨单点,557,1054,88 + 0.0,735,B - 二一轨滑条,B - 二轨单点,557,1054,1840590,50 - 0.4
E,7,"Everything I Need","Skylar Grey",,红色,分开,923 + 1051,B - 二一轨滑条、四轨长条左滑^^^B - 一轨单点、三轨长条左滑,B - 二轨长条结尾^^^B - 二轨长条左滑、三轨长条右滑,458,1177,90 - 0.5,1051,B - 一轨单点、三轨长条左滑,B - 二轨长条左滑、三轨长条右滑,458,1177,1760266,48 - 0.3
,,"再见安打","唐禹哲",,红色,分开,66 + 121,A - 一轨单点^^^B - 一轨单点、四轨单点,A - 一轨单点、四轨单点^^^B - 三轨长条中间,107,321,49 - 0.1,66,A - 一轨单点,A - 一轨单点、四轨单点,107,321,664416,25 - 0.1
G,10,"Gee","少女时代",20,,分开,183 + 551、186 + 551、187 + 551,A - 四轨单点^^^A - 一轨单点、四轨长条开始,A - 一轨单点、三轨单点^^^A - 一轨单点、三轨单点,630,1101,96 + 0.1,183、186、187,A - 四轨单点,A - 一轨单点、三轨单点,630,1101,2323834,53 + 0.4
S,9,"SUNSET","TWICE",,,分开,186 + 1274、688 + 1274,A - 一轨长条开始、四轨长条中间^^^B - 三轨长条中间,A - 二轨长条右滑^^^B - 一轨长条结尾、四轨长条结尾,684,1450,88 + 0.1,1274,B - 三轨长条中间,B - 一轨长条结尾、四轨长条结尾,684,1450,2452284,47 + 0.1
M,10,"MY舞☆TONIGHT","Aqours",,,分开,329 + 645、329 + 649、329 + 663,A - 二一轨滑条^^^A - 一轨长条右滑、三轨长条右滑,A - 一轨长条右滑、四轨长条左滑^^^A - 二轨长条左滑、四轨长条左滑,811,1587,114 + 0.2,329,A - 二一轨滑条,A - 一轨长条右滑、四轨长条左滑,811,1587,3181287,60 + 0.1
X,6,"修炼爱情","林俊杰 ",,,分开,547 + 825,B - 一轨长条开始、四轨长条开始^^^B - 三轨单点,B - 三轨单点^^^B - 一轨长条结尾、四轨长条结尾,264,925,84 - 0.5,825,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,264,925,1599555,42 - 0.1
C,9,"chAngE","miwa",,,分开,938 + 1032,B - 三轨长条开始^^^B - 一轨长条开始、三轨长条开始,B - 一轨长条右滑、三轨长条右滑^^^B - 二轨单点,507,1164,89 + 0.3,1032,B - 一轨长条开始、三轨长条开始,B - 二轨单点,507,1164,2516225,47 + 0.0
,,"不醉不会","田馥甄",,红色,分开,177 + 706,A - 二轨单点^^^B - 四轨长条左滑,A - 一轨单点^^^B - 二一轨滑键,409,805,93 - 0.3,177,A - 二轨单点,A - 一轨单点,409,805,1565696,47 - 0.5
,,"Enough","GOT7",,,分开,343 + 403、343 + 405、344 + 403、344 + 405,B - 一轨长条中间^^^B - 二轨单点,B - 三轨单点^^^B - 一轨单点,291,614,55 + 0.3,343,B - 一轨长条中间,B - 三轨单点,291,614,1164586,28 + 0.3
,,"漫时光","QQ炫舞",,红色,分开,430 + 513,B - 一轨长条右滑^^^B - 四轨长条开始,B - 四轨长条结尾^^^B - 一轨单点,297,579,55 + 0.3,430,B - 一轨长条右滑,B - 四轨长条结尾,297,579,1050182,30 - 0.2
J,8,"君にふれて","安月名莉子",,,分开,509 + 1275、509 + 1277,A - 四轨长条开始^^^B - 一轨长条中间,A - 四轨长条开始^^^B - 二轨长条左滑,713,1482,100 + 0.1,1275、1277,B - 一轨长条中间,B - 二轨长条左滑,713,1482,2291362,51 - 0.3
,,"You(=I)","脸红的思春期",,红色,分开,89 + 331,A - 二轨单点^^^B - 三四轨滑键,A - 三轨单点^^^B - 三轨单点,192,441,61 + 0.4,331,B - 三四轨滑键,B - 三轨单点,192,441,1014674,31 - 0.1
,,"稀罕没理由","潘玮柏",,红色,分开,99 + 164、99 + 165,B - 四轨单点^^^B - 二轨单点,B - 三轨单点^^^B - 二轨单点、四轨单点,96,196,46 + 0.0,164、165,B - 二轨单点,B - 二轨单点、四轨单点,96,196,492048,24 + 0.0
,,"Trap","Henry",,红色,分开,71 + 200,A - 三轨单点^^^B - 二轨单点,A - 三轨单点^^^B - 二轨单点,137,266,46 - 0.2,200,B - 二轨单点,B - 二轨单点,137,266,566839,23 - 0.1
N,6,"Not Another Song About Love","Hollywood Ending",,,分开,544 + 626,B - 四轨单点^^^B - 三四轨滑条,B - 一轨单点^^^B - 一轨单点,323,770,65 + 0.1,544,B - 四轨单点,B - 一轨单点,323,770,1325496,33 + 0.2
W,6,"What Makes You Beautiful","One Direction",,红色,分开,134 + 319,A - 二轨单点^^^B - 一轨单点,A - 一轨单点、四轨单点^^^B - 一轨单点、三轨单点,199,452,76 + 0.0,134、319,A - 二轨单点,A - 一轨单点、四轨单点,199,452,1129700,38 + 0.0
,,"Whistle(困难版)","Flo Rida",100,,分开,247 + 1051、768 + 1051,A - 二轨长条开始、五轨单点^^^B - 一二轨滑条、四五轨滑条,A - 二轨长条中间、四轨长条中间^^^B - 一轨长条中间、四轨长条中间,572,1433,86 + 0.3,1051,B - 一二轨滑条、四五轨滑条,B - 一轨长条中间、四轨长条中间,572,1433,2503702,46 + 0.2
,,"Get It On The Floor","DMX",,,分开,237 + 380,A - 四轨长条右滑^^^A - 四轨单点,A - 一轨单点、五轨长条左滑^^^A - 三轨长条结尾、五轨单点,613,1241,94 - 0.3,237,A - 四轨长条右滑,A - 一轨单点、五轨长条左滑,613,1241,2350165,49 - 0.4
H,7,"好想大声说喜欢你","BAAD",,,分开,207 + 598,A - 二轨长条开始、三轨长条开始^^^B - 三轨长条右滑,A - 二轨长条左滑^^^B - 四轨长条左滑,396,976,81 - 0.5,598,B - 三轨长条右滑,B - 四轨长条左滑,396,976,1559722,41 - 0.1
J,8,"禁绝边境线","Walküre",,,分开,359 + 666,A - 一轨长条开始^^^B - 四轨单点,A - 二轨长条结尾、三轨长条结尾^^^B - 二轨长条结尾、三轨单点,443,966,70 + 0.4,359,A - 一轨长条开始,A - 二轨长条结尾、三轨长条结尾,443,966,1687034,36 - 0.3
L,6,"铃兰(QQ炫舞手游原创音乐)","埋葬&优十",,,分开,108 + 497,A - 一轨长条右滑^^^B - 四轨长条左滑,A - 三轨单点^^^B - 二轨单点,369,733,74 - 0.3,497,B - 四轨长条左滑,B - 二轨单点,369,733,1443494,37 + 0.0
,,"左边","杨丞琳",,红色,分开,190 + 455、190 + 461、190 + 478、190 + 479、191 + 455、191 + 461、191 + 478、191 + 479、191 + 455、191 + 461,A - 三轨单点^^^B - 一轨单点,A - 二轨单点^^^B - 三轨单点,292,583,70 + 0.3,455、461、478、479,B - 一轨单点,B - 三轨单点,292,583,1154313,36 - 0.4
,,"素颜","许嵩/何曼婷",,红色,分开,94 + 144、94 + 146,B - 四轨单点^^^B - 四轨单点,B - 三轨长条结尾^^^B - 二轨单点,91,209,41 - 0.4,144、146,B - 四轨单点,B - 二轨单点,91,209,425776,22 - 0.4
B,6,"白骑士","QQ炫舞原创",,红色,分开,120 + 207,A - 一轨长条中间^^^A - 四轨单点,A - 三二轨滑键^^^A - 二轨长条结尾、四轨长条开始,348,655,70 - 0.2,120,A - 一轨长条中间,A - 三二轨滑键,348,655,1214407,35 + 0.1
,,"No One Else Like You","Adam Levine",,红色,分开,367 + 471,B - 一轨长条开始^^^B - 一轨长条中间,B - 二轨长条中间^^^B - 一轨长条结尾、四轨长条结尾,250,582,67 - 0.1,471,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,250,582,1023113,35 + 0.2
,,"千年","SING女团",,红色,分开,213 + 277,B - 二轨单点、四轨单点^^^B - 二一轨滑键、四轨单点,B - 四轨单点^^^B - 一轨单点,145,325,64 + 0.0,213、277,B - 二轨单点、四轨单点,B - 四轨单点,145,325,883088,32 + 0.0
C,8,"Chilli","SEVENTEEN",20,,分开,124 + 204、124 + 557,A - 三四轨滑条^^^A - 四轨单点,A - 一轨长条右滑^^^A - 三四轨滑键,423,933,79 + 0.3,124,A - 三四轨滑条,A - 一轨长条右滑,423,933,1940189,40 + 0.1
,,"曖昧スクリーム","平野绫",,,分开,15 + 754,A - 五轨单点^^^B - 三轨长条结尾、五轨长条开始,A - 三轨单点^^^B - 一轨单点、五轨单点,676,1399,111 + 0.3,754,B - 三轨长条结尾、五轨长条开始,B - 一轨单点、五轨单点,676,1399,2734586,58 - 0.1
W,6,"What Do You Mean?","Justin Bieber",,红色,分开,331 + 406、331 + 408、331 + 414、344 + 414,B - 一轨长条开始、三轨单点^^^B - 二轨长条结尾、四轨单点,B - 二轨长条开始、四轨单点^^^B - 二轨单点,228,606,69 - 0.4,331、344、357,B - 一轨长条开始、三轨单点,B - 二轨长条开始、四轨单点,228,606,1236387,35 - 0.2
G,9,"Get Cool","Stray Kids",,,分开,239 + 656,A - 一轨长条开始、四轨长条开始^^^B - 一轨长条开始、四轨长条开始,A - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条结尾、四轨长条结尾,456,877,83 - 0.4,656,B - 一轨长条开始、四轨长条开始,B - 一轨长条结尾、四轨长条结尾,456,877,1711816,42 - 0.2
A,7,"Apple Is A","T-ara",,红色,分开,153 + 333、153 + 334、154 + 333、154 + 334,A - 二轨单点^^^B - 四轨单点,A - 二轨单点、四轨长条结尾^^^B - 二轨单点,235,452,71 - 0.2,333、334,B - 四轨单点,B - 二轨单点,235,452,1027623,37 + 0.2
N,10,"Naruto Main Theme","六三四",50,,分开,1532 + 1832,B - 二轨单点、三四轨滑键^^^B - 二轨单点,B - 一轨长条右滑、四轨长条开始^^^B - 二轨长条结尾、四轨长条结尾,1014,1910,88 + 0.4,1532,B - 二轨单点、三四轨滑键,B - 一轨长条右滑、四轨长条开始,1014,1910,3117494,45 + 0.4
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,分开,120 + 149、120 + 150、120 + 151、120 + 152、121 + 149、121 + 150、121 + 151、121 + 152、122 + 149、122 + 150,B - 四轨单点^^^B - 二轨单点,B - 三轨单点^^^B - 一轨单点,74,171,31 + 0.0,120、121、122、123、124、149、150、151、152,B - 四轨单点,B - 三轨单点,74,171,436396,16 - 0.5
X,10,"星月夜","和楽器バンド",,,分开,752 + 1010、754 + 1010,B - 二轨单点、三四轨滑键^^^B - 二一轨滑条,B - 二轨长条左滑、三轨长条结尾^^^B - 二轨单点,581,1145,113 + 0.4,752、754,B - 二轨单点、三四轨滑键,B - 二轨长条左滑、三轨长条结尾,581,1145,2590118,63 + 0.2
Z,7,"再遇不到你这样的人","庄心妍",,红色,分开,504 + 694,B - 一轨单点、三轨单点^^^B - 一轨长条开始、三轨单点,B - 一轨长条结尾、三轨单点^^^B - 一轨长条结尾、三轨单点,376,868,88 + 0.3,694,B - 一轨长条开始、三轨单点,B - 一轨长条结尾、三轨单点,376,868,1590635,45 - 0.3
,,"棉花糖","至上励合",,红色,分开,172 + 265、174 + 265,B - 一轨长条结尾、三轨单点^^^B - 一轨长条开始,B - 一轨单点、四轨长条结尾^^^B - 四轨单点,154,386,68 - 0.3,172、174,B - 一轨长条结尾、三轨单点,B - 一轨单点、四轨长条结尾,154,386,824842,34 + 0.0
,,"We are the stars(QQ炫舞手游原创音乐)","Osz",,红色,分开,187 + 495、187 + 496、376 + 495、376 + 496,A - 二轨单点^^^B - 三轨长条中间,A - 三轨长条左滑^^^B - 二轨长条右滑,338,593,61 - 0.2,495、496,B - 三轨长条中间,B - 二轨长条右滑,338,593,1022203,31 - 0.3
T,6,"The New Kings","Vicetone/Popeska/Luciana",,红色,分开,278 + 424,B - 二一轨滑条^^^B - 二轨单点,B - 一轨单点^^^B - 一二轨滑键、四轨长条左滑,225,508,68 - 0.2,278,B - 二一轨滑条,B - 一轨单点,225,508,1285709,36 + 0.0
