字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
T,6,"淘汰","陈奕迅",,红色,34,A - 左下角数字 10 蓝条中间,A - 左上角数字 6 蓝条结尾,135,313,849075,33 + 0.0
,,"Pure","向井太一",,红色,182、182、185,B - 中间数字 1 单点（cool）、左边数字 2 单点,B - 右边数字 6 单点、右边数字 7 单点（cool）,118,229,612214,28 - 0.5
C,9,"Colourful","Virginia To Vegas",,,197、441,A - 左边数字 11 绿条结尾、右下角数字 1 单点,A - 左下角数字 3 单点,281,558,1243744,27 + 0.3
B,8,"白骑士","QQ炫舞原创",,红色,245,B - 左上角数字 11 蓝条开始,B - 右下角数字 10 单点、左下角数字 10 单点,205,418,1110848,33 + 0.0
K,7,"KNOCK KNOCK","TWICE",,红色,89,A - 右上角数字 9 单点,A - 右下角数字 5 单点,134,345,1084382,32 + 0.0
,,"长腿叔叔","袁娅维",,红色,187,B - 右下角数字 2 单点,B - 左上角数字 2 蓝条结尾,106,239,660725,25 + 0.0
,,"Talk Dirty","Jason Derulo/2",,红色,146,B - 左下角数字 3 单点,B - 左下角数字 2 单点,114,195,508289,19 - 0.1
G,10,"Get It On The Floor","DMX",,,612,B - 左下角数字 5 蓝条结尾、上面数字 6 单点,B - 右下角数字 11 绿条结尾、左下角数字 12 蓝条结尾、上面数字 1 单点,390,753,2036862,41 + 0.2
B,10,"Butter Fly","和田光司",,,263、644,A - 下面数字 9 蓝条开始,A - 右上角数字 9 绿条中间、左上角数字 9 绿条中间,392,817,2004439,41 - 0.4
H,9,"Hey Baby 你是我的","李佳薇",20,,247,B - 左下角数字 3 绿条结尾、右下角数字 4 单点,B - 左边数字 10 单点,240,515,1456547,29 + 0.1
W,6,"我的梦","张靓颖",,红色,132,B - 右上角数字 3 蓝条开始,B - 左上角数字 4 蓝条结尾,121,293,830284,28 + 0.0
N,8,"narrative","泽野弘之/LiSA",,,428、431,B - 下面数字 1 单点,B - 右上角数字 5 单点,233,501,1143310,26 + 0.4
L,6,"LOVE IT LIVE IT","YDPP",,红色,147、259,B - 左上角数字 7 蓝条开始,B - 左下角数字 6 单点,138,301,858886,24 - 0.1
C,10,"CLEAR","坂本真綾",,,196、455,A - 左上角数字 5 单点,A - 左上角数字 2 单点,318,677,2047911,45 + 0.0
N,7,"Not Another Song About Love","Hollywood Ending",,,211、212、213、214、215、218,B - 左下角数字 2 单点,B - 左上角数字 4 蓝条结尾,200,436,1158639,29 + 0.0
,,"全部都是你","Dragon Pig",,红色,125、126、129、132,B - 左下角数字 4 单点,B - 右下角数字 1 单点,84,168,653796,29 + 0.0
R,9,"Rookie","Red Velvet",,,250,B - 左下角数字 4 蓝条结尾、右下角数字 5 单点,B - 左下角数字 9 蓝条结尾、右下角数字 10 单点,192,475,1291739,34 + 0.0
M,6,"漫时光","QQ炫舞",,,102、103、104、130、222、233、234、235、261,A - 右上角数字 1 单点,A - 右上角数字 4 单点,202,350,892936,23 - 0.5
N,10,"Naruto Main Theme","六三四",,,757、758、759,B - 左上角数字 6 绿条开始,B - 右下角数字 3 绿条开始,483,898,1912892,34 + 0.1
*,10,"123我爱你(困难版)","新乐尘符",,,464、465、466、536、537、538,B - 右边数字 3 单点,B - 下面数字 7 蓝条结尾、左下角数字 8 蓝条开始,389,764,1990251,41 - 0.4
,,"1234","韩安旭",,红色,188、189、197、220、221,B - 左下角数字 1 单点,B - 右下角数字 5 单点,127,254,697467,22 - 0.2
C,10,"Candy Pop","TWICE",,,245,B - 左下角数字 1 单点、右下角数字 1 单点,B - 右下角数字 7 绿条开始,244,564,1567384,34 + 0.1
S,7,"Synchronise","INFINITE",,红色,129、134、138、139、285、290、294、295,A - 右上角数字 1 单点,A - 左上角数字 4 单点,168,347,906737,27 + 0.0
X,6,"炫舞","陈伟霆",,红色,362,B - 左边数字 1 蓝条开始,B - 右上角数字 3 单点,232,448,773965,21 - 0.5
T,6,"The New Kings","Vicetone/Popeska/Luciana",,红色,174,B - 右边数字 2 单点,B - 右下角数字 7 绿条开始,143,309,882783,24 + 0.3
Z,7,"再快乐一点","张韶涵",,,225,B - 右下角数字 2 绿条结尾,B - 右上角数字 5 蓝条结尾,195,437,912332,23 + 0.1
,,"勇往直前恋上你","王霏霏/赵天宇",,红色,145、186,B - 右上角数字 3 单点,B - 左上角数字 9 绿条开始,120,225,657937,24 + 0.2
D,9,"Dear Future Husband","Meghan Trainor",,,70,A - 右下角数字 3 单点,A - 左下角数字 8 单点,225,538,1647523,32 - 0.2
B,8,"Brave Heart","宮崎歩",,,277,A - 左下角数字 1 单点,A - 右下角数字 9 单点、左下角数字 9 单点,317,567,1250251,28 + 0.4
,,"吸引定律","Awaken-F",,红色,157、158、160、162、164,B - 左下角数字 12 单点,B - 右上角数字 4 单点,98,192,593231,20 - 0.1
G,8,"Glimmer","祈Inory",,红色,303,B - 左下角数字 3 蓝条中间,B - 右下角数字 3 单点、右下角数字 4 单点（cool）,197,434,1098066,32 - 0.1
M,10,"MY舞☆TONIGHT","Aqours",,,608,B - 右上角数字 1 蓝条开始,B - 右上角数字 4 蓝条结尾、左下角数字 5 单点,419,889,2550130,43 + 0.0
Y,8,"月光传说","桃色幸运草Z",,,311、312、316,B - 左边数字 1 单点,B - 右边数字 6 单点,183,447,1065482,26 - 0.1
Z,8,"Zillion Lights","めらみぽっぷ",,,145、147、333、335,A - 左上角数字 3 单点,A - 右上角数字 7 单点,232,473,1335709,29 - 0.1
L,10,"恋のパーフェクト微分方程式","ユウノウミ",,,237、238、239、518、519、520,A - 下面数字 5 单点,A - 右上角数字 4 蓝条开始,314,595,1681912,33 + 0.4
F,10,"Flower Dance(困难版)","DJ OKAWARI",,红色,150、443,A - 右上角数字 10 蓝条结尾、下面数字 11 蓝条开始,A - 上面数字 6 蓝条结尾、下面数字 7 蓝条开始,228,574,1700861,47 + 0.0
F,9,"风云喜","李常超",,,163、164、340、341、468、469,A - 左下角数字 4 蓝条开始,A - 右上角数字 8 单点,220,568,1345179,33 - 0.5
,,"夜宴风波","音阙诗听/王梓钰",,红色,180,B - 左下角数字 8 单点,B - 左下角数字 8 单点、右下角数字 8 单点,112,200,547003,19 - 0.1
,,"Wind flower","MAMAMOO",,,103、104、105、256、257、258,A - 左上角数字 3 单点,A - 左下角数字 12 单点,167,343,909607,22 - 0.2
R,6,"Ring Ding Dong","SHINee",,红色,175、176,B - 右上角数字 11 绿条结尾,B - 左上角数字 16 单点,146,313,798465,25 + 0.3
,,"你曾那么爱我","陈势安",,红色,290,B - 右下角数字 5 单点,B - 右上角数字 9 蓝条结尾,134,320,892123,24 + 0.0
G,9,"Get Cool","Stray Kids",,红色,189、392,A - 右下角数字 1 蓝条中间,A - 右边数字 7 单点、右边数字 8 单点（cool）,237,440,1150133,33 - 0.2
J,7,"寂静之空","傅许",,,324、344,B - 左上角数字 8 单点,B - 中间数字 4 单点,207,386,1142291,27 + 0.0
S,6,"斯诺克","付辛博",,红色,265,B - 右下角数字 6 单点,B - 右上角数字 7 蓝条结尾,140,320,927381,29 + 0.0
H,7,"坏掉的大人","陈势安",,,130、373,A - 右上角数字 1 单点,A - 左上角数字 12 蓝条结尾,237,502,1123502,21 + 0.3
F,9,"Faded(困难版)","Alan Walker",,,442,B - 右上角数字 1 单点,B - 左下角数字 7 单点,287,583,1772158,35 + 0.0
E,7,"Everything I Need","Skylar Grey",,,369、387,B - 右边数字 1 单点,B - 右上角数字 6 蓝条结尾,202,474,903408,22 - 0.1
D,10,"Dura","Daddy Yankee",,,178,A - 右上角数字 16 蓝条开始,A - 右下角数字 9 蓝条结尾、左上角数字 10 单点,309,760,2311822,49 + 0.0
Z,10,"直到世界终结(困难版)","WANDS",,,285、401,B - 左上角数字 4 蓝条开始,B - 左下角数字 3 绿条开始,281,693,1798262,36 + 0.3
D,10,"大艺术家(困难版)","蔡依林",,,384、836,A - 左上角数字 3 单点、右下角数字 3 单点,A - 上面数字 8 蓝条中间,527,951,2797888,66 + 0.0
T,9,"the WORLD","Nightmare",,,232、233、235、240、504、505、507、512,A - 左下角数字 1 单点,A - 右下角数字 5 单点,378,658,1398101,31 + 0.1
V,10,"Victory(困难版)","Bond",,,321、324、327、330,A - 左上角数字 5 蓝条结尾、右上角数字 6 蓝条开始,A - 左上角数字 5 蓝条结尾、右上角数字 6 蓝条开始,552,1032,3379074,58 + 0.0
E,6,"Enough","GOT7",,,206,B - 左下角数字 2 单点,B - 右下角数字 8 绿条开始,174,371,1002603,26 + 0.1
G,10,"更新","Sabão",,,466、513,B - 右下角数字 11 绿条结尾,B - 右下角数字 6 单点,245,547,1713609,30 + 0.3
W,10,"Why So Lonely","Wonder Girls",,,338,B - 左下角数字 5 绿条中间、右上角数字 6 单点,B - 右下角数字 10 蓝条结尾、左下角数字 11 单点,289,634,1787544,35 - 0.1
H,8,"换世奇恋","排骨教主",,,140、362、468,A - 右下角数字 1 单点,A - 左边数字 7 单点,209,539,1286876,27 - 0.4
N,7,"粘人精","圈9/谣君/新乐尘符",,,142、143、144、145、146、320、321、322、323、324,A - 右下角数字 1 单点,A - 左上角数字 7 单点,187,413,1198417,29 + 0.0
D,8,"Digital World","Amaranthe",,红色,175、176、176,B - 左下角数字 3 单点,B - 左上角数字 9 蓝条中间,162,325,935927,30 - 0.1
,,"Love a Girl Right","Little Mix",,红色,143,B - 左上角数字 3 单点,B - 左边数字 6 单点,88,192,480657,18 - 0.4
J,8,"君にふれて","安月名莉子",,,510,B - 上面数字 1 单点,B - 上面数字 6 单点,272,558,1230296,26 + 0.3
I,6,"if","西野カナ",,,339,B - 左上角数字 12 绿条中间,B - 左上角数字 4 蓝条结尾,197,366,1015549,27 - 0.4
D,8,"等待","黄龄",,,298,B - 右下角数字 1 单点,B - 右下角数字 6 蓝条结尾,240,439,1232566,25 - 0.1
Y,7,"You Are My Only One","袁娅维/小宇",,红色,264,B - 右下角数字 5 单点,B - 右下角数字 4 蓝条结尾、左下角数字 5 单点,211,444,996461,28 + 0.0
I,6,"I Love You","玉泽演/吴映洁",,红色,60,A - 右上角数字 4 单点,A - 左下角数字 5 绿条中间,138,312,809878,32 + 0.0
,,"HURT","Jasmine Sokko",,红色,147、148,B - 右下角数字 7 单点,B - 右下角数字 16 单点,91,172,597259,24 + 0.0
L,10,"林中鸟(困难版)","葛林",,,67,A - 右下角数字 4 单点,A - 左下角数字 4 蓝条结尾、右下角数字 5 单点,355,776,1981009,31 + 0.0
,,"You(=I)","脸红的思春期",,红色,193、194、195,B - 右下角数字 2 单点,B - 右下角数字 5 单点,124,264,720358,25 - 0.1
L,9,"凉凉(困难版)","杨宗纬/张碧晨",50,,657,B - 左上角数字 1 单点,B - 右上角数字 3 单点,449,876,2076720,37 + 0.4
Q,8,"前尘","SING女团",,红色,113、115、116、117、117、120,A - 左上角数字 1 蓝条中间,A - 右上角数字 5 蓝条中间,232,445,1211112,40 + 0.0
W,7,"往后余生","王贰浪",,红色,365,B - 左下角数字 14 绿条中间、右下角数字 15 单点,B - 右上角数字 1 单点,190,489,1138633,32 - 0.2
M,7,"梦想时代(QQ炫舞系列主题曲)","刘人语/罗奕佳/苏芮琪",,红色,252,B - 右下角数字 10 单点,B - 左上角数字 5 单点,142,334,975389,28 - 0.5
W,8,"我要给世界最悠长的湿吻 Kisses For The World","蔡健雅",,,181、182,A - 下面数字 4 单点,A - 中间数字 8 蓝条结尾、左上角数字 1 单点,234,456,1128236,29 - 0.5
,,"No One Else Like You","Adam Levine",,红色,270、271、271,B - 左上角数字 1 单点,B - 右上角数字 10 蓝条中间,153,305,781901,27 - 0.1
S,6,"盛装游行","back number",,红色,279,B - 左下角数字 3 单点,B - 下面数字 10 单点,164,327,944998,27 - 0.1
D,8,"Dancing on","FTISLAND",,,590,B - 左下角数字 10 绿条结尾、右上角数字 11 绿条开始,B - 左上角数字 11 单点,325,625,1237135,25 - 0.2
C,8,"Chilli","SEVENTEEN",,,225,B - 左上角数字 1 单点,B - 右下角数字 7 单点,204,443,1315825,28 + 0.0
,,"做我的唯一","新乐尘符/贺子玲",,红色,150、151、152,B - 左上角数字 3 单点,B - 右下角数字 8 单点,100,186,576333,23 - 0.2
,,"Real Change","Masetti",,红色,179、179、184、184,B - 中间数字 3 单点（cool）、上面数字 4 单点,B - 右边数字 9 单点、右边数字 10 单点（cool）,135,286,873125,27 + 0.0
S,9,"SUNSET","TWICE",,,261,B - 右下角数字 2 单点,B - 左上角数字 13 绿条开始,257,548,1426782,27 + 0.2
N,6,"No","CLC",,,176、177、178、179,B - 右上角数字 5 单点,B - 右下角数字 12 单点,162,370,878603,22 - 0.1
I,6,"I Love You","EXID",,红色,222,B - 右上角数字 4 蓝条开始,B - 左边数字 7 单点,134,322,822033,27 - 0.2
Z,10,"ZastiZ(QQ炫舞手游原创音乐)","JurokuNeta",,,496,B - 右下角数字 7 单点,B - 左下角数字 7 单点、右下角数字 7 单点,252,537,1674482,42 + 0.0
L,7,"荔枝声界","QQ炫舞手游",,,209、271、272、273、378,B - 右边数字 2 单点,B - 左上角数字 10 单点,207,425,1263021,30 + 0.0
U,9,"UNION","OxT",,,114、410,A - 右下角数字 12 绿条结尾,A - 左下角数字 3 单点,303,599,1352610,27 + 0.3
,,"We are the stars(QQ炫舞手游原创音乐)","Osz",,红色,253,B - 左上角数字 2 蓝条开始,B - 右上角数字 3 绿条开始,164,290,808705,26 + 0.4
S,9,"Somebody Told Me","Charlie Puth",,,472,B - 右下角数字 5 绿条结尾,B - 左边数字 3 单点,236,518,1264855,28 - 0.3
,,"仁心所向","河图",,,227、229、442、444,A - 右上角数字 1 单点,A - 右边数字 3 单点,286,501,1115149,25 - 0.4
L,6,"Ladybees","蜜蜂少女队",,红色,183,B - 左下角数字 1 单点、右下角数字 1 单点,B - 右下角数字 5 单点、左下角数字 5 单点,129,304,851227,28 + 0.0
H,6,"合二为一","王栎鑫",,,248、249、250、462、463、464,A - 左下角数字 3 单点,A - 左上角数字 6 蓝条中间,300,514,1172025,24 + 0.1
,,"相信未来","MIC男团",,红色,91,A - 左下角数字 11 单点,A - 左边数字 3 单点,120,271,827038,25 - 0.2
W,8,"What U Do to Me","Roshelle",,,338、339,B - 左下角数字 8 单点,B - 左上角数字 4 单点,218,467,1271444,28 + 0.0
*,10,"101个愿望","火箭少女101杨超越/火箭少女101赖美云/火箭少女101傅菁",,,162、417,A - 左边数字 8 蓝条开始,A - 下面数字 4 单点,224,478,1384399,27 + 0.0
W,10,"Whistle(困难版)","Flo Rida",,,229、230、231、232、234、237、238、239、241,A - 左上角数字 6 单点,A - 右下角数字 1 单点,393,867,2085822,38 - 0.1
W,7,"What if(QQ炫舞手游原创音乐)","TetraCalyx",,红色,217,B - 右上角数字 1 蓝条开始,B - 左下角数字 5 单点,130,327,803733,24 - 0.4
N,9,"NIGHT OF FIRE","森永真由美/浜田ブリトニー",,,343、344、345、346,B - 右下角数字 5 单点,B - 左上角数字 4 单点,304,547,1611817,27 + 0.3
N,9,"你和我的一天","水濑祈",,,160、161、162、163、164、165、363、364、365、366,A - 下面数字 3 单点,A - 左下角数字 11 蓝条开始,235,438,1259721,33 - 0.1
Z,8,"最近","王小帅",,红色,137、138、138、325、326、326,A - 左上角数字 1 单点,A - 左下角数字 6 蓝条中间,177,365,1096800,32 + 0.0
,,"完美体贴","新乐尘符/李思雨/林俊呈",,红色,177、178、179,B - 右下角数字 4 单点,B - 右边数字 8 单点,138,270,759618,24 - 0.1
,,"千年","SING女团",,红色,98,B - 左边数字 4 单点,B - 右下角数字 1 单点,92,206,676598,24 + 0.0
L,7,"铃兰(QQ炫舞手游原创音乐)","埋葬&优十",,,294,B - 左下角数字 1 单点,B - 左上角数字 4 绿条开始,206,406,1151359,27 + 0.2
,,"玫瑰少年","蔡依林",,红色,170、171,B - 左上角数字 1 单点,B - 左下角数字 5 单点,107,195,551358,20 - 0.1
X,10,"星月夜","和楽器バンド",,,305、456、582,A - 右下角数字 5 绿条结尾、左下角数字 6 蓝条开始,A - 右上角数字 3 单点,381,658,1700683,40 + 0.2
Y,6,"遇上爱","杨丞琳",,红色,226,B - 左下角数字 1 单点,B - 上面数字 7 单点,154,326,961961,30 + 0.0
R,7,"Rightfully","Mili",,,154、155、156、161、162、163、168、465、466、467,A - 中间数字 7 单点,A - 右边数字 1 蓝条结尾,258,557,1377600,33 - 0.1
D,8,"Don't Leave Me","防弹少年团",,红色,160、368,A - 上面数字 1 单点,A - 下面数字 8 单点,217,431,1116368,31 - 0.3
,,"原点","徐梦圆",,,233、238、239、535、540、541,A - 右上角数字 1 单点,A - 右下角数字 5 单点,287,589,1095602,25 - 0.2
E,8,"Electroheart","Amaranthe",,红色,124、125、302、303,A - 左下角数字 2 单点,A - 右下角数字 5 蓝条结尾,172,381,1073269,31 - 0.1
,,"Play It Cool","Steve Aoki/MONSTA X",,红色,236、237,B - 右下角数字 1 单点,B - 上面数字 4 单点,143,297,803014,24 - 0.2
N,8,"No Joke","罗志祥",,,44,A - 上面数字 5 单点,A - 左上角数字 3 单点,170,365,1191896,28 + 0.0
,,"I Won’t Let You Go","GOT7",,红色,114、115、246、247,A - 左下角数字 12 单点,A - 左下角数字 13 单点,137,269,703105,22 + 0.0
,,"叮叮当当(QQ炫舞手游原创音乐)","贰哲",,,127、129、355、357,A - 右上角数字 7 单点,A - 右下角数字 1 蓝条结尾、左下角数字 2 单点,240,468,917658,24 + 0.1
T,10,"太烦恼","杨丞琳",,,142、143、144、145、194、195、196、197、397、398,A - 右下角数字 9 蓝条开始,A - 左边数字 11 蓝条结尾、下面数字 12 单点,232,566,1520581,29 - 0.2
T,8,"Take My Hand","Simple Plan",,,269,B - 上面数字 5 绿条开始,B - 右下角数字 9 蓝条结尾,250,527,1154415,28 + 0.2
,,"The Fire","吉克隽逸",,红色,180,B - 左下角数字 1 单点,B - 左下角数字 7 绿条中间,137,262,761563,28 - 0.4
,,"Too Much","Carly Rae Jepsen",,红色,171,B - 左下角数字 1 单点,B - 右边数字 9 单点,95,198,452120,21 - 0.3
,,"不逃","罗志祥",,红色,159,B - 左下角数字 10 蓝条开始,B - 左上角数字 1 绿条开始,133,261,705920,24 + 0.2
Q,7,"乞丐","摩登兄弟",,红色,261,B - 右下角数字 1 单点,B - 左下角数字 7 绿条开始,198,389,1125532,30 + 0.3
M,8,"MK Circus","Dough-Boy/王嘉尔",,红色,167、167,A - 中间数字 1 单点（cool）、左下角数字 2 单点,A - 右下角数字 7 单点、右下角数字 8 单点（cool）,207,433,1127409,34 - 0.2
B,8,"不可思议","金莎",,红色,231、232、232,B - 右上角数字 1 单点,B - 左下角数字 10 单点、中间数字 1 单点（cool）,161,330,960924,28 + 0.0
L,9,"恋人募集中","天月-あまつき-",,,112,A - 下面数字 4 绿条结尾,A - 左上角数字 7 单点,217,436,1175273,25 + 0.3
M,9,"My Song","花泽香菜",,,150、151、192、193、194、195、350、351、352、392,A - 右上角数字 1 单点,A - 左下角数字 3 单点,247,471,1309679,28 - 0.1
,,"蹁跹舞(QQ炫舞手游原创音乐)","QQ炫舞手游",,红色,215,B - 左上角数字 10 单点,B - 下面数字 5 单点,112,275,548772,18 + 0.3
,,"Don't Threaten Me With A Good Time","Panic! At The Disco",,红色,172,B - 右下角数字 10 绿条结尾、左上角数字 1 单点,B - 左下角数字 1 单点,107,228,690071,29 + 0.3
H,6,"喊出我的名字","创造营2019学员",,红色,274、275、275、276、277、277,B - 右上角数字 13 单点,B - 右上角数字 4 单点、中间数字 5 单点（cool）,154,304,838165,26 + 0.0
H,8,"坏女孩","陈嘉桦",,,121、323,A - 左边数字 6 绿条结尾,A - 右上角数字 3 单点,192,480,1206624,28 - 0.3
*,9,"オメガリズム","UPLIFT SPICE",,,254,B - 左上角数字 4 单点,B - 右下角数字 8 绿条开始,250,624,1675932,28 + 0.2
,,"疯了吧","TWICE",,红色,205,B - 左下角数字 4 单点,B - 左下角数字 8 蓝条结尾,116,266,702316,25 - 0.2
*,9,"ヒトガタ","HIMEHINA",,,265、266、267、268、269、270、271、272,B - 左下角数字 8 单点,B - 右上角数字 6 单点,244,449,1412442,32 + 0.0
T,10,"天樂","和楽器バンド",,,333,A - 左下角数字 4 绿条结尾、下面数字 4 绿条结尾,A - 下面数字 5 蓝条结尾,386,711,1679797,33 + 0.0
L,7,"绿色","陈雪凝",,红色,110、115、251、256,A - 左上角数字 6 单点,A - 右下角数字 12 单点,172,314,803315,25 - 0.3
H,9,"换我陪你","炎亚纶",,,244、566,A - 右下角数字 6 蓝条中间,A - 中间数字 6 蓝条结尾、左边数字 7 单点,305,627,1341571,29 + 0.0
,,"Time with you","圭贤",,红色,193,B - 左上角数字 10 单点,B - 右上角数字 6 蓝条结尾,125,232,673929,26 + 0.1
,,"Monsters","Katie Sky",,红色,172、173,B - 左上角数字 8 单点,B - 左上角数字 12 单点,107,235,565773,20 - 0.1
C,9,"Crash","The Primitives",,,454、503,B - 右上角数字 1 蓝条结尾、左下角数字 2 单点,B - 左下角数字 6 蓝条结尾、右上角数字 7 单点,235,549,1358364,31 - 0.5
X,7,"像暗杀似的绕到背后突然拥抱你","太一",,,119、120、121、122、271、272、273、276、277、278,A - 左边数字 4 单点,A - 右上角数字 10 单点,180,328,1039007,25 + 0.0
,,"那时正好","赵政豪",,,271,B - 右上角数字 4 单点,B - 右下角数字 6 单点,170,439,1028393,23 + 0.4
D,9,"DANCE DANCE","Day6",100,,155、202、426、473,A - 左下角数字 3 单点,A - 中间数字 9 蓝条结尾、右下角数字 10 单点,253,541,1388746,30 - 0.5
,,"Turn Up","周汤豪",100,红色,267,B - 左上角数字 1 绿条结尾、右下角数字 2 单点,B - 左下角数字 7 单点,155,316,834559,26 + 0.0
A,8,"爱不得 恨不得 舍不得","胡彦斌",,,216、478,A - 左上角数字 7 单点,A - 右下角数字 5 单点,250,512,1475688,29 + 0.0
,,"彩虹","苏醒",,红色,181、181,B - 中间数字 3 单点（cool）、上面数字 4 单点,B - 左上角数字 8 蓝条中间,119,240,675867,31 - 0.2
,,"孤注一掷的舞者","DOES",,,191、192、193,A - 右上角数字 1 单点,A - 左下角数字 6 单点,231,427,1273149,27 + 0.0
D,10,"Dear Brave","鹿乃",,,353,B - 右下角数字 2 单点,B - 右上角数字 6 蓝条结尾,351,725,1920994,28 - 0.1
S,7,"傻呆呆","BY2",,红色,143、249、290,A - 左上角数字 1 单点、右上角数字 1 单点,A - 右下角数字 5 单点,184,321,901446,28 + 0.0
,,"PRINCESS","Samuel",,红色,210,B - 左下角数字 11 单点,B - 右边数字 1 单点,113,247,707278,26 + 0.0
P,8,"僕は僕であって","angela/fripSide",,,444、445,B - 左上角数字 3 单点,B - 右下角数字 5 蓝条中间,194,471,1334186,27 + 0.0
D,9,"Defiance","雨宮天",,,145、147、151、152、153、198、199、200、463、465,A - 右上角数字 1 单点,A - 左下角数字 8 单点,309,639,1483590,28 - 0.2
Y,7,"鹦鹉","任然",,红色,181、181、182、182、183、212、388、388、389、389,A - 中间数字 5 单点（cool）、右边数字 6 单点,A - 左上角数字 9 单点,285,491,1251463,38 - 0.5
,,"星期天","张紫豪",,红色,232、233、233,B - 左下角数字 1 单点,B - 左上角数字 5 单点、左上角数字 6 单点（cool）,135,290,792236,27 + 0.0
S,8,"生而倔强","熊汝霖",,,475,B - 右下角数字 4 单点,B - 左上角数字 7 绿条开始,260,523,1171964,29 + 0.0
Y,9,"雲を抜けた青空","Da-iCE",,,156、387,A - 左上角数字 1 单点、右上角数字 1 单点,A - 右下角数字 14 绿条结尾,232,479,1257736,30 - 0.3
,,"两小无猜","小木",,红色,187、187,B - 中间数字 6 单点（cool）、右下角数字 7 单点,B - 右上角数字 3 单点、右上角数字 4 单点（cool）,168,381,1066474,36 + 0.0
,,"如果当时","胡夏",,红色,276、276,B - 中间数字 5 单点（cool）、左边数字 6 蓝条开始,B - 左上角数字 7 单点、右上角数字 7 单点,183,392,969042,35 - 0.3
,,"ME!","Taylor Swift/Brendon Urie",,红色,106、107、107,B - 左下角数字 1 单点,B - 右下角数字 5 单点、右下角数字 6 单点（cool）,81,186,452948,20 + 0.4
P,8,"偏偏","Sihan/银临",,,135、325,A - 左下角数字 5 蓝条开始,A - 左上角数字 6 绿条开始,185,419,1040717,25 + 0.0
M,8,"冒险蓝图","Chic Chili",,,176,A - 左下角数字 1 蓝条开始,A - 右上角数字 4 蓝条结尾、左上角数字 5 单点,293,550,1321853,31 + 0.1
S,8,"SUPERMOON","HIROOMI TOSAKA",,,155、333,A - 右边数字 3 单点,A - 左边数字 8 蓝条结尾,208,386,1169065,27 + 0.0
P,9,"PIRI","Dreamcatcher",,,464,B - 左下角数字 8 蓝条开始,B - 右下角数字 4 单点,218,550,1621248,29 - 0.1
F,6,"Flamingo","米津玄師",,红色,136,A - 左上角数字 4 绿条结尾,A - 左下角数字 6 蓝条结尾,165,328,884516,25 + 0.1
,,"Baby Don't Cry","于湉",,红色,229,B - 左下角数字 4 绿条结尾,B - 右边数字 7 单点,139,271,813445,26 + 0.1
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,465,B - 右边数字 6 蓝条开始、中间数字 6 蓝条开始,B - 右上角数字 7 蓝条结尾、下面数字 8 单点,250,509,1542309,39 + 0.0
,,"我曾","1908公社",,红色,221,B - 右边数字 6 单点,B - 左上角数字 3 单点,130,274,754810,27 - 0.2
,,"幸福症候群","nanawoakari",,红色,203,B - 左下角数字 6 单点,B - 右上角数字 3 单点,178,441,1148151,33 - 0.2
,,"She is","OVAN/SHAUN",,红色,90、90,A - 中间数字 4 单点（cool）、右上角数字 5 蓝条开始,A - 右边数字 4 单点,155,250,744183,33 + 0.0
,,"Loved","Highlight",,红色,164、165、165,B - 左上角数字 3 单点,B - 右下角数字 7 单点、右下角数字 8 单点（cool）,161,311,828508,25 - 0.1
H,9,"火炎","女王蜂",,,199、460、461、462,A - 右边数字 5 单点,A - 左上角数字 1 单点,236,540,1414711,27 - 0.4
Y,6,"越来越近","苏醒",,红色,182,B - 右上角数字 6 蓝条开始,B - 右下角数字 1 单点,129,305,801166,26 - 0.1
S,9,"So Good","Red Velvet",,,284,B - 左上角数字 7 单点,B - 中间数字 5 单点,192,374,1096145,28 - 0.2
,,"HERO","李子璇",,红色,192、193、193,B - 左下角数字 1 单点,B - 右边数字 4 单点、右边数字 5 单点（cool）,140,283,839121,29 + 0.2
,,"不念则忘","音阙诗听/赵方婧",,红色,139、140,A - 左上角数字 6 单点,A - 左下角数字 9 蓝条结尾、右上角数字 10 单点,174,316,866734,28 + 0.0
,,"就喜欢你","董又霖",,红色,179,B - 右上角数字 4 单点,B - 右下角数字 11 单点,109,208,582224,24 - 0.3
H,9,"HUSTLE","陈梓童",,,78,A - 右上角数字 7 单点,A - 下面数字 4 单点,251,546,1592437,29 + 0.0
S,6,"Slow It Down","Charlie Puth",,红色,229,B - 右下角数字 6 蓝条开始,B - 右下角数字 9 绿条中间,143,298,818837,29 - 0.3
B,7,"捕风","音频怪物/汐音社",,,161,A - 右下角数字 1 单点,A - 右边数字 5 单点,224,461,1097162,25 + 0.0
*,10,"[A]ddiction","EVO+",,,167、360、546,A - 下面数字 5 单点,A - 右下角数字 3 单点,267,589,1910019,34 + 0.0
,,"On My Way","Alan Walker/Sabrina Carpenter/Farruko",,红色,39、39,A - 中间数字 6 单点（cool）、右下角数字 7 单点,A - 右下角数字 4 单点,74,163,433736,24 - 0.3
L,8,"零之相册(QQ炫舞手游原创音乐)","埋葬&优十",,,155、156、157、388,A - 左下角数字 1 单点,A - 左上角数字 3 蓝条结尾,215,450,1276087,32 + 0.0
,,"I am YOU","Stray Kids",,红色,124、291,A - 下面数字 8 绿条结尾、右上角数字 1 单点,A - 右上角数字 8 单点,249,442,1091938,29 + 0.3
