字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"I am YOU","Stray Kids",,,196、454,A - 右边长条中间,A - 左边单点,390,684,1493996,36 + 0.3
S,6,"斯诺克","付辛博",,红色,93,A - 左边白球,A - 左边单点,189,439,1140971,31 - 0.5
S,8,"生而倔强","熊汝霖",,,372,A - 左边单点、右边单点,A - 左边单点、右边单点,421,835,1585045,38 - 0.5
D,9,"Dancing on","FTISLAND",,,498,B - 右边长条结尾,B - 左边连点第 2 个,486,946,1859034,35 + 0.2
H,6,"Here With You","Asher Book",100,红色,412,B - 左边长条结尾、右边长条开始,B - 右边白球,209,514,1193192,32 - 0.2
Z,7,"再遇不到你这样的人","庄心妍",,,578,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边长条结尾,321,694,1507244,39 - 0.5
*,9,"ペガサス幻想","MAKE-UP",,,301,B - 左边长条中间,B - 左边单点、右边单点,287,737,1836921,39 - 0.3
Y,8,"YESTERDAY","Block B",,,565、567,B - 右边连点第 1 个,B - 左边白球,309,748,1644357,34 + 0.4
L,8,"L.I.E","EXID",,,495、497,B - 右边连点第 1 个,B - 左边长条结尾、右边单点,339,611,1422312,38 - 0.5
,,"心率","鹿晗",,红色,165、166,B - 左边单点,B - 右边长条结尾,98,275,523646,22 - 0.5
,,"倾杯","SING女团",,,444,B - 左边单点、右边滑键,B - 左边单点,302,558,1310591,34 + 0.3
H,8,"换我陪你","炎亚纶",,,449,A - 右边长条结尾,A - 左边单点、右边单点,509,1049,1914953,37 + 0.1
B,8,"被遗忘的天使","萧忆情",,,278、634,A - 右边单点,A - 左边白球,427,783,1523102,35 - 0.3
N,9,"No Joke","罗志祥",,,64,A - 左边连点第 1 个,A - 右边长条结尾,259,550,1762928,39 - 0.5
D,9,"Defiance","雨宮天",,,129、657,A - 左边长条开始,A - 左边长条结尾,517,1059,2043294,37 + 0.3
G,8,"Glimmer","祈Inory",,,122、123、124、429、430、431,A - 左边连点第 1 个,A - 右边连点第 2 个,282,633,1397107,35 + 0.0
W,7,"我要给世界最悠长的湿吻 Kisses For The World","蔡健雅",,,243、282、626、665,A - 右边白球,A - 右边白球,368,720,1391377,31 + 0.2
O,7,"偶像万万岁","TimeZ",,,279、447,B - 左边连点第 1 个,B - 左边滑键,258,542,1436476,35 + 0.0
,,"PRINCESS","Samuel",,红色,104、269,A - 右边连点第 1 个,A - 左边单点,147,332,871076,27 + 0.0
L,7,"两双","谢安琪/吉克隽逸",,红色,173、402,A - 左边连点第 1 个,A - 右边单点,233,484,1228766,37 - 0.4
L,7,"零之相册(QQ炫舞手游原创音乐)","埋葬&优十",,,377,B - 右边单点,B - 左边白球,301,636,1542795,38 + 0.0
,,"courage","戸松遥",,,554,B - 右边长条开始,B - 右边白球,436,910,1863907,33 - 0.2
,,"无限大","孙燕姿",20,红色,263、263、268、268,A - 左边连点第 2 个（cool）、右边单点,A - 右边白球,303,425,1083033,32 + 0.0
,,"原点","徐梦圆",,,216、217、218、219、220、692、693、694、695、696,A - 右边连点第 1 个,A - 右边连点第 1 个,448,924,1457529,32 + 0.1
,,"夜宴风波","音阙诗听/王梓钰",,红色,103,A - 左边单点,A - 右边单点,159,279,845747,31 - 0.3
S,9,"SWEET TALKER","TWICE",50、100,,814、817,B - 左边单点,B - 左边长条中间、右边长条中间,497,1073,2042894,41 + 0.0
L,10,"林中鸟(困难版)","葛林",,蓝色,419、420,A - 右边白球,A - 左边滑键、右边单点,543,1243,2689562,36 + 0.4
X,6,"炫舞国度","BOX.COM",,,388、389,B - 左边单点,B - 左边单点、右边单点,217,439,1358474,35 - 0.1
,,"不逃","罗志祥",,红色,152,A - 左边长条结尾,A - 右边单点,197,388,959991,33 - 0.4
H,7,"换世奇恋","排骨教主",,,337,B - 右边白球,B - 右边单点,324,835,1538043,28 + 0.3
N,9,"NIGHT OF FIRE","森永真由美/浜田ブリトニー",,,159、160,A - 右边长条结尾,A - 左边白球,438,801,2260744,40 + 0.3
H,7,"坏掉的大人","陈势安",,,156、554,A - 左边滑键,A - 右边长条中间,390,819,1714147,30 - 0.1
,,"专属味道","汪苏泷/林希儿",,,171、384,A - 左边连点第 1 个,A - 左边单点、右边单点,289,603,1273957,32 - 0.5
,,"Pure","向井太一",,红色,192,B - 左边白球,B - 左边白球、右边长条中间,130,265,823556,32 - 0.4
,,"绿色","GReeeeN",,,214、215,B - 右边单点,B - 右边白球,203,461,1119863,28 + 0.0
L,6,"铃兰(QQ炫舞手游原创音乐)","埋葬&优十",,,117,A - 右边单点,A - 左边白球,322,623,1425978,32 - 0.5
C,8,"Chain","NCT 127",,,472、473,B - 右边滑键,B - 右边单点,276,523,1609024,40 - 0.5
M,10,"MY舞☆TONIGHT","Aqours",,,348,A - 左边长条开始、右边单点,A - 左边滑键、右边单点,516,1083,2759780,40 + 0.1
,,"帅一个","罗志祥",,,196、197、479、480,A - 左边滑键,A - 左边单点,349,785,2074642,48 + 0.0
C,9,"CLEAR","坂本真綾",,,248、551,A - 左边白球,A - 左边单点、右边单点,399,851,2092253,39 - 0.4
,,"Real Change","Masetti",,红色,320,B - 左边单点,B - 右边白球,172,348,1086904,30 + 0.0
H,9,"Hacking to the Gate","伊藤加奈子",,,935,B - 右边长条开始,B - 右边白球,652,1063,2017983,41 - 0.4
,,"甜甜的情歌","Young 7",,红色,282、287,B - 右边白球,B - 左边连点第 1 个、左边连点第 2 个（cool）,257,431,1023595,33 + 0.0
C,9,"春夏秋冬","Sumika",,,635,B - 左边滑键、右边长条开始,B - 左边白球,599,1155,2220162,39 - 0.5
,,"Bon Bon(给他一击)","强东玥",,红色,444,B - 右边单点,B - 右边白球,259,482,1108624,31 - 0.5
N,6,"粘人精","圈9/谣君/新乐尘符",,,213、214、475、476,A - 左边连点第 2 个,A - 左边白球,266,592,1509682,36 + 0.0
,,"孤注一掷的舞者","DOES",,,462、463、464、465、466、467,B - 右边单点,B - 右边连点第 3 个,432,800,1858203,42 - 0.5
,,"FOOLISH","Meghan Trainor",,,433,B - 右边长条开始,B - 右边单点,261,532,1087474,29 - 0.4
,,"Candy Boy","TWICE",,,159、363,A - 左边长条结尾,A - 左边单点、右边滑键,304,788,1914160,36 + 0.3
,,"闺蜜大过天","李子璇/吴芊盈",,红色,112、275,A - 右边单点,A - 右边长条中间,205,408,805153,29 - 0.2
M,9,"MK Circus","Dough-Boy/王嘉尔",,,653,B - 右边连点第 1 个,B - 左边单点,368,833,1803087,42 - 0.1
Q,6,"青花引","Ace组合",,红色,317、318,B - 右边单点,B - 左边单点,250,453,1030481,31 - 0.5
,,"江南","林俊杰",,红色,117,A - 左边滑键,A - 左边白球、右边长条结尾,214,469,1007485,41 - 0.2
X,6,"修炼爱情","林俊杰 ",,,341,B - 左边滑键、右边长条开始,B - 左边单点、右边单点,218,727,1422978,35 - 0.5
B,7,"不可思议","金莎",,红色,112、113、169、348、349、405,A - 左边单点,A - 左边白球,230,482,1268031,37 + 0.0
C,8,"Chilli","SEVENTEEN",,,180、457,A - 左边单点,A - 右边滑键,331,717,1836036,40 + 0.0
H,8,"Hey Baby 你是我的","李佳薇",,,606,B - 左边白球,B - 右边单点,351,742,1876035,36 + 0.0
G,8,"Get Cool","Stray Kids",,,68,A - 右边长条结尾,A - 右边白球,340,622,1406416,36 + 0.3
P,8,"PIRI","Dreamcatcher",,,359,B - 左边白球,B - 左边长条开始,351,904,2051547,38 - 0.3
,,"Don't Threaten Me With A Good Time","Panic! At The Disco",,红色,206、206,B - 左边单点（cool）、右边单点,B - 右边白球,140,295,754858,32 - 0.5
,,"空山新雨后","音阙诗听/锦零",,红色,233、233,B - 左边单点（cool）、右边单点,B - 左边白球、左边单点（cool）,127,293,788640,33 - 0.3
,,"合二为一","王栎鑫",,,379、725,A - 左边白球,A - 右边长条中间,483,829,1469106,28 - 0.5
L,6,"绿色","陈雪凝",,红色,150、344,A - 右边单点,A - 右边单点,227,413,1036839,30 + 0.0
B,9,"Butter Fly","和田光司",,,913、923,B - 左边单点、右边长条中间,B - 左边长条中间、右边连点第 3 个,469,1031,2145736,45 + 0.2
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,483,B - 右边连点第 2 个,B - 左边连点第 4 个,336,732,1647105,37 + 0.2
,,"Time with you","圭贤",,红色,51,A - 左边白球,A - 左边长条中间,211,383,763261,29 - 0.4
L,9,"恋のパーフェクト微分方程式","ユウノウミ",,,339、741,A - 左边连点第 2 个,A - 左边白球,452,854,2047851,39 - 0.3
L,6,"Love So Soft","Kelly Clarkson",,,245,B - 右边白球,B - 右边单点,239,491,1452151,36 - 0.5
,,"我们是太阳","筷子兄弟",,,156、239、444、527,A - 左边单点,A - 右边长条中间,304,618,1014592,26 + 0.3
W,6,"What Do You Mean?","Justin Bieber",,红色,420、420,B - 左边连点第 1 个（cool）、左边连点第 2 个,B - 左边白球,200,462,1291839,37 + 0.0
,,"白衣少年","许诗茵",,,674,B - 左边单点,B - 右边白球,361,792,1652270,34 - 0.3
L,7,"荔枝声界","QQ炫舞手游",,,306、307、308、309,A - 右边连点第 1 个,A - 左边连点第 1 个,395,784,1720822,35 - 0.1
,,"For You","高颖浠",,红色,150,A - 右边长条中间,A - 右边连点第 2 个,189,360,886296,34 - 0.4
Y,7,"You Are My Only One","袁娅维/小宇",,红色,727、727,B - 左边单点（cool）、右边白球,B - 左边长条中间、右边长条中间,393,866,1421814,41 - 0.2
T,9,"太烦恼","杨丞琳",,,619、629、631,B - 右边长条结尾,B - 左边连点第 2 个,297,706,1726430,38 - 0.2
Y,6,"遇上爱","杨丞琳",,红色,115、368,A - 右边长条中间,A - 左边单点,260,537,1201248,35 - 0.1
,,"带你去旅行","校长",,红色,410,B - 右边单点,B - 右边白球,237,468,1082315,33 - 0.3
S,9,"So Good","Red Velvet",,,309,A - 右边白球,A - 左边长条开始、右边单点,367,706,1623738,38 - 0.2
Z,8,"Zillion Lights","めらみぽっぷ",20,,642,B - 左边长条开始、右边长条开始,B - 左边滑键、右边长条中间,382,792,1848185,38 + 0.0
S,8,"SUPERMOON","HIROOMI TOSAKA",,红色,237、237、237、465、465、465,A - 左边单点（cool）、左边单点、右边单点,A - 左边白球,278,506,1505156,41 + 0.0
V,10,"Victory(困难版)","Bond",,,947,B - 左边长条结尾,B - 左边单点、右边单点,548,990,3248529,55 + 0.3
B,7,"Brave Heart","宮崎歩",,,384,A - 右边白球,A - 左边单点、右边单点,438,746,1529026,33 + 0.2
,,"疯了吧","TWICE",,红色,270,B - 左边单点,B - 右边白球,153,384,1014203,36 - 0.5
Q,6,"期待","Girl's Day",,红色,198,B - 左边单点、右边单点,B - 左边白球、右边长条结尾,171,432,1039957,34 + 0.0
,,"夜空中最亮的星","逃跑计划",,红色,360,B - 左边连点第 1 个、右边长条结尾,B - 右边白球,292,568,1060481,35 - 0.4
*,9,"オメガリズム","UPLIFT SPICE",,,105,A - 右边长条结尾,A - 右边单点,440,1010,2246269,38 + 0.3
,,"Slow It Down","Charlie Puth",,红色,254,B - 左边白球,B - 左边连点第 1 个、左边连点第 2 个（cool）,212,471,935176,31 + 0.1
,,"你曾那么爱我","陈势安",,红色,125、380,A - 左边白球,A - 右边长条中间,213,514,1070882,29 + 0.0
,,"She is","OVAN/SHAUN",,红色,144,A - 右边长条中间,A - 左边白球,228,379,778356,30 + 0.0
D,8,"Don't Leave Me","防弹少年团",,,333,B - 左边长条开始,B - 左边连点第 3 个、右边长条结尾,325,678,1412029,36 - 0.3
P,8,"偏偏","Sihan/银临",,,419,B - 左边白球,B - 右边白球,306,718,1394864,32 - 0.3
,,"On My Way","Alan Walker/Sabrina Carpenter/Farruko",,红色,59、59,A - 左边单点（cool）、右边单点,A - 右边单点,106,239,716232,36 + 0.0
,,"The Fire","吉克隽逸",,红色,147、323,A - 左边单点,A - 左边单点,238,456,1008876,37 - 0.1
,,"盛装游行","back number",,红色,341,B - 右边白球,B - 左边长条开始,246,490,1068173,30 - 0.2
,,"炫舞","陈伟霆",,,598,B - 左边滑键,B - 左边长条结尾、右边长条结尾,354,682,1119580,29 + 0.1
,,"Loved","Highlight",,红色,247、248,B - 左边白球,B - 右边单点,221,421,1012062,28 - 0.5
,,"HERO","李子璇",,红色,337,B - 左边单点,B - 左边白球,194,407,1050236,34 + 0.1
W,6,"王妃","萧敬腾",,红色,446、447,B - 左边单点,B - 右边连点第 3 个,234,553,1256122,37 + 0.4
J,7,"寂静之空","傅许",,,460、488,B - 右边滑键,B - 左边滑键,293,549,1663353,38 - 0.5
W,7,"往后余生","王贰浪",,,509、510,B - 右边单点,B - 右边白球,314,709,1542563,39 + 0.1
,,"雨后的咖啡","SNP",,红色,127、128、360、361,A - 右边滑键,A - 右边滑键,249,483,942784,28 + 0.0
,,"I'm OK","小青龙",,红色,493、493、494、494,B - 右边单点（cool）、左边白球,B - 左边连点第 2 个、右边白球（cool）,218,590,1578586,50 + 0.0
,,"if","西野カナ",,,196,A - 右边滑键,A - 左边单点,290,570,1132132,30 - 0.4
L,6,"Ladybees","蜜蜂少女队",,红色,123、131、287、295,A - 右边单点,A - 左边单点,204,496,1084389,31 + 0.0
W,9,"Why So Lonely","Wonder Girls",,,486,B - 左边长条中间、右边白球,B - 左边白球,456,1078,2172295,46 - 0.5
,,"那时正好","赵政豪",,,427,B - 左边白球,B - 左边单点,256,702,1231571,25 + 0.3
A,7,"爱不得 恨不得 舍不得","胡彦斌",,,293、294、295、298、299、661、662、663、666、667,A - 右边连点第 1 个,A - 左边单点,345,713,1860679,40 + 0.0
D,10,"Dura","Daddy Yankee",,,519、520,B - 左边单点,B - 左边单点,364,879,2769834,42 + 0.0
D,10,"大艺术家(困难版)","蔡依林",,,735、736、737、738,B - 左边连点第 1 个,B - 右边单点,612,1103,2314395,50 + 0.0
D,9,"Digital World","Amaranthe",,红色,354,B - 右边长条结尾,B - 右边滑键,251,508,1370995,40 - 0.2
H,9,"火炎","女王蜂",,,203、653,A - 右边长条结尾,A - 左边白球,403,917,2021996,37 + 0.3
F,9,"Firefly","Abba Teens",,红色,529,B - 左边白球、右边单点,B - 右边白球,330,584,1394364,41 - 0.5
,,"如果当时","胡夏",,红色,363,B - 左边长条结尾,B - 左边单点,235,510,1105086,35 - 0.5
F,6,"Flamingo","米津玄師",,红色,192、419,A - 右边白球,A - 左边长条中间,270,578,1085203,30 - 0.3
M,6,"梦想时代(QQ炫舞系列主题曲)","刘人语/罗奕佳/苏芮琪",,红色,335、335,B - 右边单点（cool）、左边白球,B - 右边白球,218,513,1270476,39 + 0.1
,,"I Love You","玉泽演/吴映洁",,红色,440、446,B - 左边单点,B - 右边单点,233,546,957147,31 + 0.0
D,6,"叮叮当当(QQ炫舞手游原创音乐)","贰哲",,,119、398,A - 右边长条结尾,A - 左边连点第 2 个,290,565,1429455,31 - 0.3
,,"觅","王喆",,,623,B - 右边白球,B - 左边连点第 1 个,285,670,1868741,39 + 0.0
Z,10,"ZastiZ(QQ炫舞手游原创音乐)","JurokuNeta",,,377,B - 右边白球,B - 右边白球,323,684,2212830,52 - 0.5
S,8,"Scarlet Faith","仲村芽衣子",,,506,B - 左边白球,B - 左边白球,262,601,1598033,38 - 0.5
S,8,"Somebody Told Me","Charlie Puth",,,207、596,A - 左边单点、右边长条中间,A - 左边滑键,361,785,1537102,31 - 0.5
N,8,"你和我的一天","水濑祈",,,242、247、530、535,A - 左边单点,A - 左边长条中间,330,618,1487574,36 + 0.0
,,"黒い羊","欅坂46",,红色,56,A - 右边连点第 1 个,A - 左边单点,210,436,895249,28 + 0.0
G,9,"Gee","少女时代",,,133,A - 左边长条中间,A - 右边连点第 2 个,492,946,1756463,31 + 0.0
Z,7,"最近","王小帅",,红色,168、168、436、436,A - 右边单点（cool）、左边单点,A - 右边单点、左边滑键（cool）,244,512,1373079,43 + 0.0
X,7,"像暗杀似的绕到背后突然拥抱你","太一",,,472,B - 右边白球,B - 右边白球,284,544,1446217,35 - 0.5
D,9,"Dear Brave","鹿乃",,蓝色,1084,B - 左边单点,B - 左边长条结尾、右边长条结尾,623,1335,2795627,37 + 0.4
,,"完美体贴","新乐尘符/李思雨/林俊呈",,红色,315,B - 右边单点,B - 右边滑键,193,401,1059938,34 + 0.1
,,"玫瑰少年","蔡依林",,红色,230、231、231、240、240,B - 右边单点,B - 左边滑键、右边单点、右边单点（cool）,172,305,831660,31 - 0.5
,,"左边","杨丞琳",,红色,367、368,B - 右边长条结尾,B - 右边白球,214,421,1141574,33 + 0.3
T,10,"天樂","和楽器バンド",,,719、720、721、722、723、939、940、941、942,B - 右边连点第 2 个,B - 左边白球,555,1114,3468986,52 + 0.0
,,"Play It Cool","Steve Aoki/MONSTA X",,红色,101、102、103、103、189、195、196、197、197,A - 右边单点（cool）、左边单点,A - 右边白球,180,382,1068797,33 - 0.5
,,"魂不守舍","朱星杰",,红色,163,A - 左边白球,A - 左边长条结尾,204,439,979455,26 + 0.0
R,7,"Rightfully","Mili",,,700、701、702、704,B - 右边滑键,B - 右边白球,357,780,1676910,35 - 0.5
,,"Shiny","高颖浠",,,463、469,A - 左边长条中间,A - 左边滑键、右边滑键,547,1028,2603120,52 - 0.5
,,"星期天","张紫豪",,红色,328、329、330、330,B - 右边白球,B - 左边单点、左边单点（cool）,183,398,1056603,38 - 0.5
,,"I Won’t Let You Go","GOT7",,红色,176、176、376、376,A - 左边单点（cool）、右边单点,A - 左边单点、左边单点（cool）,207,407,934887,31 - 0.5
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",,红色,145、149,B - 左边白球,B - 左边白球,77,207,606657,25 - 0.5
,,"Too Much","Carly Rae Jepsen",,红色,241、260,B - 左边白球,B - 右边连点第 1 个、右边连点第 2 个（cool）,157,319,756338,36 - 0.5
,,"ME!","Taylor Swift/Brendon Urie",,红色,167,B - 右边长条开始,B - 右边单点,137,309,740531,30 + 0.3
H,7,"坏女孩","陈嘉桦",,,206、503,A - 左边滑键,A - 左边单点,282,721,1395586,37 - 0.3
,,"BET","Da-iCE",,红色,207,B - 右边白球,B - 左边白球,195,452,1085473,32 - 0.5
,,"蹁跹舞(QQ炫舞手游原创音乐)","QQ炫舞手游",,红色,303、303,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 左边单点,197,443,974038,32 + 0.4
,,"Turn Up","周汤豪",,红色,152、397,A - 右边单点,A - 左边白球,231,467,1053384,31 + 0.0
A,6,"爱投罗网","罗志祥",,,205,B - 左边单点,B - 左边白球、右边长条结尾,199,600,1399157,34 + 0.0
,,"Radiant","TANGRAM",,,261、266、672、677,A - 左边单点、右边长条开始,A - 右边长条开始,415,858,1680502,39 + 0.4
*,9,"[A]ddiction","EVO+",20,,74,A - 左边白球,A - 左边白球,360,782,2563477,44 + 0.0
,,"两小无猜","小木",,红色,462、462,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 右边单点、左边滑键（cool）,235,523,1193900,36 - 0.2
Y,8,"雲を抜けた青空","Da-iCE",,,220、571,A - 左边长条中间、右边长条中间,A - 左边白球,350,724,1536655,36 - 0.2
P,8,"僕は僕であって","angela/fripSide",,,109、402,A - 右边白球,A - 左边长条中间、右边长条中间,286,680,1778712,34 + 0.1
W,6,"Wolves","Selena Gomez/Marshmello",,,147、473,A - 左边白球、右边长条中间,A - 左边长条中间、右边白球,365,743,1431999,37 + 0.2
,,"Baby Don't Cry","于湉",,红色,331,B - 左边长条开始,B - 左边白球,202,396,1036881,34 + 0.1
H,8,"Happy Song","南征北战NZBZ",,,493、834,A - 左边白球、右边长条中间,A - 左边长条中间、右边长条中间,599,1094,1996449,43 + 0.2
,,"flower of sorrow","花たん",,,241、684,A - 左边长条结尾,A - 左边单点,423,927,1943214,38 + 0.3
,,"捕风","音频怪物/汐音社",,,320、717,A - 右边连点第 1 个,A - 右边白球,373,770,1409762,31 - 0.3
D,9,"Dear Future Husband","Meghan Trainor",,,551,B - 右边白球,B - 右边滑键,336,852,1929880,35 - 0.2
J,8,"境界の彼方","茅原実里",,,307、308、749、750,A - 右边单点,A - 左边长条结尾,567,1009,1623317,32 - 0.2
S,6,"声音之城","飞儿乐团",,红色,279,B - 左边单点,B - 右边滑键、左边单点（cool）,204,407,1180719,36 - 0.3
M,6,"莫名奇妙爱上你","朱主爱",,,517,B - 右边单点,B - 右边白球,343,664,1260317,29 + 0.0
,,"365","Zedd/Katy Perry",,红色,223,B - 左边白球,B - 左边连点第 2 个、右边单点（cool）,161,342,831294,35 - 0.5
D,8,"等待","黄龄",,,360、361、761、762,A - 右边单点,A - 左边单点,466,867,1821959,35 - 0.2
K,10,"克罗地亚第二狂想曲","Various Artists",,蓝色,778,A - 左边单点,A - 右边白球,832,1639,4687330,50 - 0.5
,,"仁心所向","河图",,,435、858,A - 右边白球,A - 左边长条结尾、右边长条结尾,529,952,1519319,36 - 0.5
,,"工笔","Awaken-F",,,116、484,A - 右边白球,A - 右边长条开始,273,641,1829950,39 + 0.3
,,"Last One Standing","Simple Plan",,,641,B - 右边长条开始,B - 左边单点,314,839,1785544,38 + 0.1
,,"朝代","排骨教主",,红色,191,B - 左边单点,B - 左边单点、右边滑键,166,351,961779,32 + 0.0
E,7,"Electroheart","Amaranthe",,,521、522,B - 右边滑键,B - 左边单点、右边单点,258,560,1325451,34 + 0.0
,,"Loki","BC221",,红色,278,B - 右边长条开始,B - 右边单点,227,427,1018987,29 - 0.5
H,9,"Hypnotic","Zella Day",,,249、568,A - 左边滑键,A - 左边单点、右边单点,491,980,2234489,39 + 0.4
,,"马上上马","庄园",,,532,B - 右边单点,B - 左边白球,375,665,1847333,46 + 0.0
D,8,"DANCE DANCE","Day6",,,371,B - 左边长条开始,B - 右边白球,367,778,1639691,35 - 0.5
,,"彩虹","苏醒",,红色,116、282,A - 右边长条结尾,A - 左边滑键、右边单点（cool）,204,423,948776,36 + 0.0
C,6,"藏不住","BY2/萧秉治",,,576、577,B - 右边单点,B - 右边滑键,277,654,1259259,28 - 0.4
,,"I Got You","Bebe Rexha",,红色,140、311,A - 右边长条结尾,A - 左边单点,187,407,887915,37 - 0.2
,,"幸福症候群","nanawoakari",,,404、405、406,B - 左边连点第 1 个,B - 右边连点第 1 个,220,523,1503289,35 + 0.0
,,"不念则忘","音阙诗听/赵方婧",,红色,454,B - 右边长条结尾,B - 左边白球,265,531,932371,29 - 0.2
,,"我的告白","王栎鑫/周文杰",,,546、547,B - 左边连点第 1 个,B - 左边单点,454,757,1688979,39 - 0.5
,,"豆你玩","李子璇",,红色,329、329,B - 左边单点（cool）、右边白球,B - 右边白球、左边滑键（cool）,263,434,1446503,60 + 0.0
,,"Focus","TANGRAM",,,127、128、271、272、458、459,A - 右边连点第 1 个,A - 右边白球,210,518,1480876,33 - 0.5
