字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
*,9,"ヒトガタ","HIMEHINA",100,红色,676,B - 二轨长条右滑,B - 一轨长条中间、三轨长条中间,600,1108,2186929,61 - 0.1
M,6,"梦想时代(QQ炫舞系列主题曲)","刘人语/罗奕佳/苏芮琪",,红色,578,B - 二轨单点,B - 一轨单点,311,716,1423332,40 + 0.1
,,"Pure","向井太一",,红色,242、242,B - 四轨单点（cool）、三轨单点,B - 二轨单点、三轨单点（cool）,162,334,775376,30 - 0.2
G,9,"Glimmer","祈Inory",,红色,571、571,B - 二轨单点（cool）、一轨单点、四轨长条开始,B - 一轨单点、一轨单点（cool）,371,844,1576896,46 + 0.0
T,9,"the WORLD","Nightmare",,,658,A - 二轨长条左滑、四三轨滑键,A - 一轨单点、四轨长条左滑,1065,1854,2817677,61 + 0.4
,,"盛装游行","back number",,红色,345,B - 二轨单点,B - 二轨长条左滑,290,595,1110384,32 - 0.4
T,10,"太烦恼","杨丞琳",,,357、1010,A - 一轨长条中间,A - 二轨长条左滑、三轨长条右滑,586,1390,2609624,56 - 0.4
,,"Just Dance","Lady GaGa",,,435、444,B - 四轨长条左滑,B - 三轨长条左滑,288,644,1116302,29 + 0.0
,,"FIVE","Apink",50,红色,197,A - 一轨单点,A - 二轨长条结尾,278,455,999319,29 + 0.0
,,"HURT","Jasmine Sokko",,红色,126、136,A - 三轨长条结尾,A - 一轨单点、二轨单点（cool）,212,393,812930,33 - 0.2
,,"夜宴风波","音阙诗听/王梓钰",,红色,102,A - 二轨单点、三轨单点,A - 二轨单点,179,317,789872,29 + 0.1
,,"炫舞","陈伟霆",,红色,682、682,B - 一轨单点（cool）、一轨单点,B - 二轨长条左滑、三四轨滑键,434,821,1243188,35 + 0.2
T,8,"Take My Hand","Simple Plan",,,231、755,A - 一轨长条开始、四轨长条开始,A - 一轨长条中间,499,1059,1770367,44 + 0.3
S,7,"傻呆呆","BY2",,红色,497、497,B - 三轨单点（cool）、三轨单点,B - 二轨单点、三轨单点,337,595,1307904,40 - 0.5
,,"疯了吧","TWICE",,红色,315,B - 三四轨滑键,B - 二轨单点,181,441,1006477,36 - 0.4
L,8,"凉凉(困难版)","杨宗纬/张碧晨",,,807、812、817,B - 一轨长条中间、四轨单点,B - 二一轨滑键、四轨长条中间,736,1482,2566843,50 + 0.2
H,9,"换我陪你","炎亚纶",,,1302,B - 二轨长条左滑、四轨单点,B - 一轨单点、四轨长条结尾,691,1426,2397007,49 - 0.3
L,6,"Ladybees","蜜蜂少女队",,红色,163,A - 四轨长条左滑,A - 二轨单点、一轨单点（cool）,256,607,1175571,38 - 0.5
T,8,"to the beginning","Kalafina",,,1144,B - 四轨长条中间,B - 二轨长条结尾、三轨长条结尾,762,1262,1943959,46 - 0.1
N,8,"你和我的一天","水濑祈",50,,581,B - 一轨长条中间,B - 一二轨滑键、三四轨滑键,450,856,1690481,41 - 0.5
W,6,"Wolves","Selena Gomez/Marshmello",,,783,B - 一轨单点,B - 二轨长条结尾、四轨长条结尾,495,1028,1662988,41 - 0.4
C,9,"CLEAR","坂本真綾",50,,722,B - 一轨长条开始,B - 二轨长条结尾、四轨长条结尾,436,954,2069797,44 - 0.4
H,8,"换世奇恋","排骨教主",,,254、849,A - 三轨长条开始,A - 三四轨滑键,408,1001,1680105,37 + 0.2
M,6,"没有选择","胡彦斌",,,376,B - 三轨长条开始,B - 二轨单点、四轨长条结尾,267,525,1228643,29 - 0.5
,,"PRINCESS","Samuel",,红色,139、350,A - 四轨单点,A - 一轨单点,198,437,833855,25 + 0.0
,,"No","CLC",,红色,214、215、488、489,A - 一轨长条中间,A - 四轨长条结尾,312,702,1247924,33 + 0.4
,,"玫瑰少年","蔡依林",,红色,125、299,A - 三轨长条开始,A - 二轨单点,195,359,801186,29 - 0.1
I,6,"I Love You","EXID",,红色,372,B - 二轨单点,B - 三轨单点,256,597,1175774,32 - 0.4
*,10,"[A]ddiction","EVO+",20、50,,772,B - 一轨单点,B - 三轨长条右滑,511,1122,2619758,50 - 0.5
N,6,"粘人精","圈9/谣君/新乐尘符",100,,259、579,A - 四轨单点,A - 三轨长条右滑,319,734,1503495,36 - 0.5
F,9,"Faded(困难版)","Alan Walker",50,,788、789、790,B - 二轨单点,B - 一轨长条右滑、四轨长条左滑,488,893,2164139,44 + 0.2
P,8,"偏偏","Sihan/银临",,,510,B - 三轨长条中间,B - 二一轨滑键、四轨长条左滑,320,745,1355668,35 - 0.3
D,9,"Defiance","雨宮天",,,308、874,A - 二轨长条开始、三轨长条开始,A - 一轨单点、四轨单点,553,1153,2029688,35 + 0.0
S,9,"生而倔强","熊汝霖",50,,296、298,A - 四轨长条中间,A - 一轨长条右滑,545,1086,1968560,46 + 0.0
L,9,"恋のパーフェクト微分方程式","ユウノウミ",,,723、724,B - 一轨单点,B - 三轨长条右滑,531,1019,2197909,43 + 0.2
D,7,"叮叮当当(QQ炫舞手游原创音乐)","贰哲",,,645、646、647,B - 四轨单点,B - 一轨单点、三轨长条结尾,361,724,1489576,32 + 0.0
,,"Love a Girl Right","Little Mix",,红色,287、288,B - 二轨单点,B - 二轨长条结尾,177,369,651972,23 - 0.2
,,"I Won’t Let You Go","GOT7",,红色,148、149、149、350、351、351,A - 二轨单点,A - 二轨单点、三轨单点（cool）,225,427,854596,26 + 0.3
,,"Just Like Fire","P!nk",,,151、565,A - 一轨长条右滑、五轨单点,A - 二轨长条左滑、四轨单点,403,1008,2181833,47 - 0.3
D,10,"大艺术家(困难版)","蔡依林",,,879,B - 二轨长条左滑、四轨长条左滑,B - 一轨长条右滑、三轨长条右滑,721,1382,2555968,59 + 0.0
,,"林中鸟(困难版)","葛林",,,1663、1668、1672,B - 二轨长条左滑,B - 四轨长条左滑,732,1818,3187013,55 + 0.0
,,"你的微笑","飞儿乐团",,红色,476、477,B - 三轨单点,B - 三轨长条结尾,299,632,1208498,34 + 0.2
H,9,"HUSTLE","陈梓童",,,544,B - 四轨长条结尾,B - 一轨单点,480,1117,2336843,44 - 0.2
W,7,"What if(QQ炫舞手游原创音乐)","TetraCalyx",20,红色,370,B - 四轨长条左滑,B - 三轨单点,214,590,1269582,45 - 0.5
*,9,"ペガサス幻想","MAKE-UP",,,735,B - 二轨长条右滑、四轨单点,B - 二一轨滑键,420,1106,2277137,54 - 0.5
,,"Loved","Highlight",,红色,198、440,A - 四轨单点,A - 三轨长条右滑,283,546,1003918,28 - 0.5
,,"蹁跹舞(QQ炫舞手游原创音乐)","QQ炫舞手游",,红色,227、232,B - 四轨长条中间,B - 三轨单点,215,524,984526,30 + 0.3
,,"courage","戸松遥",,,253、871,A - 一轨单点、二四轨滑条,A - 二轨单点、四轨长条左滑,587,1222,2244728,47 + 0.4
,,"我的梦","张靓颖",,红色,178、179、179、181、182、182、380、381、381,A - 一轨单点,A - 一轨单点、一轨单点（cool）,238,606,1062669,36 + 0.0
H,9,"Happy Song","南征北战NZBZ",,红色,133、137,A - 二轨长条中间、四轨长条中间,A - 一轨长条中间、四轨长条左滑,882,1452,2479495,70 + 0.4
,,"你曾那么爱我","陈势安",,,447,B - 三轨单点,B - 一轨单点,238,602,1099567,28 - 0.3
,,"I Love You","玉泽演/吴映洁",,红色,265、265,B - 三轨单点（cool）、二轨单点,B - 二轨长条左滑,233,546,928236,31 - 0.2
Q,6,"乞丐","摩登兄弟",,,211,A - 二轨单点,A - 一轨长条中间,282,585,1257326,33 - 0.5
,,"全部都是你","Dragon Pig",,红色,129、130、133、303、304、307,A - 三轨长条开始,A - 二轨长条开始,174,348,646699,26 + 0.3
,,"Real Change","Masetti",,红色,274、275,B - 二轨单点,B - 三轨单点,212,435,1029286,29 + 0.0
,,"Candy Boy","TWICE",,,910,B - 二轨单点、四轨长条开始,B - 二轨长条左滑、三轨长条右滑,401,1129,2273414,50 - 0.3
B,8,"被遗忘的天使","萧忆情",,,267、786,A - 三四轨滑条,A - 二轨单点、三轨单点,611,1112,1822544,42 - 0.4
,,"无限大","孙燕姿",20,红色,163、164、167,A - 二轨长条开始,A - 四轨长条左滑,345,476,1042732,30 - 0.5
X,7,"像暗杀似的绕到背后突然拥抱你","太一",,,268、269、270、355,A - 四轨单点,A - 二轨长条右滑,419,775,1568201,38 + 0.2
D,9,"Dear Future Husband","Meghan Trainor",100,,461,B - 一轨长条右滑,B - 一轨长条中间、三轨长条结尾,436,1068,1951761,38 - 0.2
N,9,"No Joke","罗志祥",100,,65,A - 二轨单点,A - 三轨单点,317,689,1731716,39 + 0.3
,,"I'm OK","小青龙",,,191、528,A - 三轨长条右滑,A - 四轨单点,254,651,1433085,37 + 0.3
L,7,"荔枝声界","QQ炫舞手游",100,,730、733、739,B - 二轨单点、四轨长条开始,B - 三轨长条左滑,530,1059,2002792,42 - 0.2
,,"绿色","GReeeeN",,,441,B - 一轨长条开始,B - 一轨单点,263,630,1172075,31 - 0.2
U,10,"UNION","OxT",,,727,B - 一轨长条右滑、三四轨滑条,B - 三轨单点,590,1217,2356596,46 - 0.5
L,7,"零之相册(QQ炫舞手游原创音乐)","埋葬&优十",50,,607,B - 四轨单点,B - 二轨单点,493,1030,1739630,40 + 0.3
I,8,"I Knew You Were Trouble","Taylor Swift",,红色,97,A - 四轨长条左滑,A - 三轨长条中间,580,982,1602863,42 + 0.4
,,"合二为一","王栎鑫",,,316、764,A - 二一轨滑条、四三轨滑条,A - 一轨长条右滑,593,1041,1665679,37 + 0.1
H,6,"喊出我的名字","创造营2019学员",,红色,209、409,A - 三轨单点,A - 二轨单点,304,592,1215046,35 + 0.1
,,"if","西野カナ",,,409、410,B - 四轨单点,B - 四轨单点,363,692,1142950,30 - 0.5
L,6,"两双","谢安琪/吉克隽逸",,红色,211、468,A - 二轨长条结尾,A - 一轨单点,275,556,1209910,36 - 0.2
,,"Victory(困难版)","Bond",50,,1279,B - 二轨单点,B - 二轨长条左滑、五轨长条中间,882,1671,3651573,91 + 0.3
C,9,"春夏秋冬","Sumika",,,454、1217,A - 一轨长条开始、三轨长条右滑,A - 二轨长条左滑、四轨长条左滑,808,1571,2540075,45 + 0.4
,,"后会无期","徐良/汪苏泷",,红色,176,B - 二轨长条开始,B - 一轨单点,123,271,483687,19 - 0.1
,,"星期天","张紫豪",,红色,435,B - 二轨长条结尾,B - 二轨单点、三轨单点（cool）,242,529,1090290,39 + 0.2
Y,9,"雲を抜けた青空","Da-iCE",100,,942,B - 一轨长条开始、四轨单点,B - 一轨单点、二轨长条右滑,485,1040,1844546,38 + 0.3
,,"Monsters","Katie Sky",,红色,104、110、111、225、231、232,A - 四轨单点,A - 三轨单点,180,369,701761,25 - 0.5
,,"Bon Bon(给他一击)","强东玥",,红色,548、553,B - 一轨长条右滑,B - 三轨长条右滑,374,697,1277000,35 + 0.2
,,"太阳雨","QQ炫舞原创",,红色,245,B - 二轨单点,B - 二轨长条结尾,158,325,526285,24 + 0.3
J,9,"境界の彼方","茅原実里",,,1137,B - 一轨长条右滑、三轨长条右滑,B - 一轨单点、三轨长条右滑,855,1577,2396038,55 + 0.2
,,"ME!","Taylor Swift/Brendon Urie",,红色,188,B - 二轨单点,B - 二轨单点、四轨单点（cool）,153,327,722634,31 - 0.3
Q,6,"青花引","Ace组合",,红色,361,B - 二轨单点,B - 二轨单点,294,529,1043411,31 + 0.1
Y,6,"遇上爱","杨丞琳",,红色,144、454,A - 一轨单点,A - 二轨长条左滑,330,667,1172837,37 + 0.0
D,8,"Don't Leave Me","防弹少年团",50,红色,642,B - 一轨长条开始、四轨长条开始,B - 一轨单点、四轨长条左滑,378,775,1517181,44 - 0.1
,,"Maps","Maroon 5",,红色,385,B - 一轨单点、四轨单点,B - 一轨长条右滑,245,540,1029968,28 - 0.5
,,"Baby Don't Cry","于湉",,红色,156、367,A - 三轨长条开始,A - 三轨单点,223,434,968563,31 - 0.3
C,8,"Chain","NCT 127",,,137,A - 二轨长条右滑,A - 二轨长条左滑,380,793,1483497,37 - 0.2
,,"空山新雨后","音阙诗听/锦零",,红色,264,B - 一轨长条开始,B - 三轨单点,166,354,750974,29 + 0.1
,,"The Fire","吉克隽逸",,红色,173、369,A - 一轨单点、三轨单点,A - 四轨单点、三轨单点（cool）,270,506,945760,35 - 0.1
,,"帅一个","罗志祥",,,244、668,A - 一轨长条中间、三四轨滑键,A - 二轨长条结尾、三轨长条右滑,486,1177,2233229,51 + 0.3
,,"直到世界终结(困难版)","WANDS",,,951,B - 一轨单点、三轨单点,B - 一轨长条中间、三四轨滑键,452,1327,2679457,61 - 0.4
,,"LOVE IT LIVE IT","YDPP",,红色,482,B - 二轨单点、三轨单点,B - 三轨单点、三轨单点（cool）,230,557,1124112,34 + 0.1
H,9,"Hey Baby 你是我的","李佳薇",,,242、511、752,A - 四轨长条左滑,A - 三轨单点,441,934,1891102,40 - 0.2
L,10,"恋人募集中","天月-あまつき-",,,822、1084,B - 一二轨滑条、四三轨滑键,B - 四轨长条中间,633,1380,2344842,48 + 0.2
S,6,"声音之城","飞儿乐团",,红色,104、358,A - 四轨单点,A - 一轨单点,259,513,1146693,34 - 0.3
W,7,"往后余生","王贰浪",,红色,686,B - 二一轨滑条、四轨单点,B - 一轨长条右滑,384,872,1566418,43 - 0.5
Z,10,"ZastiZ(QQ炫舞手游原创音乐)","JurokuNeta",50,,506、507、508,B - 一轨长条开始,B - 二轨长条左滑,383,820,2060228,51 + 0.3
D,8,"等待","黄龄",,,280、817,A - 一轨单点,A - 一轨单点、三轨长条左滑,599,1136,2080293,44 - 0.1
,,"甜甜的情歌","Young 7",,红色,255、256、274,B - 三轨单点,B - 一轨单点,227,424,913608,29 + 0.0
B,6,"Bo Peep Bo Peep","T-ara",,红色,411、411、412、412,B - 一轨单点（cool）、三轨单点,B - 一轨长条结尾、三轨单点、三轨单点（cool）,269,557,1299793,39 - 0.5
R,8,"Rightfully","Mili",,,714,B - 一轨长条开始、三轨长条开始,B - 一轨单点、三轨单点,419,940,1756476,32 - 0.5
,,"1234","韩安旭",,红色,187、188、400、401,A - 二轨单点,A - 三轨单点,259,508,965347,28 - 0.5
,,"闺蜜大过天","李子璇/吴芊盈",,红色,354、355,B - 三四轨滑键,B - 三轨长条结尾,205,409,734443,26 + 0.4
,,"我们是太阳","筷子兄弟",,红色,174、273、507、606,A - 三轨长条右滑,A - 一轨单点、一轨单点（cool）,349,708,1076686,30 + 0.2
,,"FOOLISH","Meghan Trainor",,,386,B - 四轨单点,B - 一轨单点,262,525,1013862,27 - 0.3
Q,8,"前尘","SING女团",,红色,632,B - 一轨长条右滑,B - 一轨单点,392,747,1531659,42 + 0.1
*,9,"オメガリズム","UPLIFT SPICE",,,109,A - 一轨长条右滑,A - 二轨单点,490,1202,2409771,42 - 0.5
P,9,"PIRI","Dreamcatcher",,,893,B - 一轨长条中间、四轨长条中间,B - 三轨长条右滑,405,1056,2212776,36 + 0.2
,,"For You","高颖浠",,红色,166,A - 二轨长条中间,A - 二轨单点,210,455,892002,32 + 0.1
,,"做我的唯一","新乐尘符/贺子玲",,红色,141,A - 二轨单点,A - 一轨长条开始,193,332,850759,30 - 0.2
Z,7,"最近","王小帅",50,红色,180、180、475、475,A - 二轨单点（cool）、四轨单点,A - 一轨单点、三轨单点（cool）,270,565,1310120,39 + 0.0
,,"flower of sorrow","花たん",,,519、1183,A - 四轨长条开始,A - 二一轨滑键、四轨单点,624,1347,2351924,44 + 0.0
,,"当你","林俊杰",,红色,478,B - 四轨长条左滑,B - 二轨长条结尾、三轨单点,251,762,1420210,41 - 0.1
,,"那时正好","赵政豪",,红色,804,B - 一轨长条开始、四轨长条开始,B - 一轨长条中间、四轨长条左滑,323,965,1562108,47 + 0.1
,,"白衣少年","许诗茵",,,634,B - 二一轨滑条,B - 二一轨滑键、三四轨滑键,487,1091,1895696,42 + 0.0
A,8,"爱不得 恨不得 舍不得","胡彦斌",,,137、582、593,A - 二轨单点,A - 三轨长条左滑,439,884,1919373,39 - 0.4
,,"相信未来","MIC男团",,红色,462、463、463,B - 四轨单点,B - 二轨单点、二轨单点（cool）,246,576,1130265,40 - 0.2
,,"工笔","Awaken-F",,,432、433、434、435、436、437,B - 四轨单点,B - 四轨单点,360,792,1834562,37 + 0.0
M,8,"冒险蓝图","Chic Chili",,,434、983,A - 二轨长条中间、三轨长条中间,A - 二轨长条右滑、四轨单点,607,1156,2097250,45 - 0.2
,,"Sometimes","Kat Graham",,红色,215,B - 一轨单点,B - 三轨长条右滑,213,497,961041,33 - 0.2
Z,8,"Zillion Lights","めらみぽっぷ",50,,959,B - 四轨长条中间,B - 二轨单点,544,1130,1930388,38 - 0.4
,,"仁心所向","河图",,,265、685,A - 二轨长条左滑,A - 一轨单点,534,954,1451699,35 + 0.0
,,"Play It Cool","Steve Aoki/MONSTA X",,红色,122、122、245、245,A - 四轨单点（cool）、三轨单点,A - 三轨单点、三轨单点（cool）,231,494,1003669,31 + 0.0
S,9,"So Good","Red Velvet",50,,599,B - 二轨长条中间,B - 三轨单点,458,912,1699903,41 + 0.3
,,"越来越近","苏醒",,红色,396、429,B - 三轨长条右滑,B - 一轨单点,204,482,987405,28 + 0.2
,,"爱的就是你","刘佳",,红色,174、177、178、179、180、181、182,B - 四轨单点,B - 一轨单点,160,342,916695,30 + 0.0
,,"Loki","BC221",,红色,280,B - 二轨长条开始,B - 二轨长条结尾,231,463,950970,27 + 0.0
,,"Too Much","Carly Rae Jepsen",,红色,295、296、296,B - 三轨单点,B - 二轨单点、四轨单点（cool）,165,355,681383,32 - 0.5
,,"如果当时","胡夏",20,红色,487、487,B - 四轨单点（cool）、二轨单点,B - 三轨长条右滑、二轨单点（cool）,306,632,1172327,41 - 0.1
M,9,"My Song","花泽香菜",,,413、414,A - 四轨单点,A - 三轨单点,501,954,1760709,39 + 0.4
,,"就喜欢你","董又霖",,红色,309,B - 四轨单点,B - 二轨单点,183,359,778785,29 + 0.0
,,"Flamingo","米津玄師",,红色,449,B - 四轨单点,B - 三轨单点,270,579,1074429,32 - 0.1
,,"Slow It Down","Charlie Puth",,红色,81,A - 四轨单点,A - 二轨长条中间,253,545,974747,32 - 0.1
P,9,"僕は僕であって","angela/fripSide",,,475、476、477、478,B - 四轨单点,B - 四轨单点,398,897,1848850,34 - 0.1
,,"丑八怪","薛之谦",,红色,146,A - 二轨单点,A - 三轨长条左滑,264,661,1391862,45 + 0.4
,,"On My Way","Alan Walker/Sabrina Carpenter/Farruko",,红色,83、83,A - 二轨单点（cool）、三轨单点,A - 三轨单点,130,291,683446,33 + 0.0
E,8,"Electroheart","Amaranthe",,,597,B - 四轨单点,B - 二轨长条左滑,292,649,1364888,36 - 0.3
J,7,"寂静之空","傅许",,,114、377,A - 一轨单点,A - 三轨单点,304,571,1602590,36 + 0.0
G,10,"更新","Sabão",,,1053,B - 一轨单点、四轨单点,B - 二一轨滑条,696,1587,2875738,51 + 0.1
,,"马上上马","庄园",,,695,B - 二轨单点,B - 一轨长条结尾、四轨长条结尾,459,834,1754280,42 - 0.2
,,"最好的天气","郭采洁",,红色,417、419,B - 四轨单点,B - 四轨单点,193,486,964731,27 + 0.2
H,9,"火炎","女王蜂",,,415、1037,A - 一轨单点、三轨长条开始,A - 一轨单点、三轨长条右滑,562,1270,2343686,40 + 0.0
,,"凉凉","杨宗纬/张碧晨",,红色,340,B - 四三轨滑键,B - 二轨单点,157,465,722536,26 - 0.3
,,"雨后的咖啡","SNP",,红色,114、115、128、129、363、364,A - 四轨单点,A - 一轨单点,272,517,892208,24 + 0.2
D,8,"Digital World","Amaranthe",,红色,409、412、415、418,B - 四轨长条左滑,B - 二轨长条右滑,333,652,1414974,43 - 0.2
Y,7,"鹦鹉","任然",,,823,B - 二轨单点,B - 四轨单点,541,905,1576807,37 - 0.4
,,"观花","萌娜丽莎/郑冰冰",,红色,114,A - 二轨单点,A - 三轨长条右滑,268,554,1044938,34 - 0.4
,,"我曾","1908公社",,红色,301,B - 一轨单点、三轨单点,B - 二轨单点,205,437,945073,31 + 0.3
D,9,"Dear Brave","鹿乃",,,810,A - 二轨长条左滑、四轨单点,A - 一轨长条结尾、三轨长条结尾,1035,2153,3629405,51 - 0.1
S,9,"Scarlet Faith","仲村芽衣子",,,282、779,A - 二一轨滑键,A - 三轨长条右滑,401,898,1746925,39 - 0.5
D,9,"DANCE DANCE","Day6",,,380、944,A - 一二轨滑键,A - 四三轨滑键,572,1169,2033601,40 + 0.1
,,"Shiny","高颖浠",,,826,B - 二轨单点、三轨长条右滑,B - 二一轨滑键、四三轨滑键,662,1301,2841125,54 - 0.3
B,6,"捕风","音频怪物/汐音社",,,432、951,A - 四轨长条开始,A - 二轨长条结尾、三轨长条结尾,494,1013,1568917,35 - 0.3
,,"彩虹","苏醒",,红色,124、290,A - 一轨长条结尾,A - 三轨单点、二轨单点（cool）,210,431,889609,34 + 0.1
N,9,"NIGHT OF FIRE","森永真由美/浜田ブリトニー",,,685,B - 三轨单点,B - 二轨单点、四轨长条中间,615,1186,2487092,48 - 0.1
,,"黒い羊","欅坂46",,红色,164、170、345,A - 二轨单点,A - 四轨长条中间,244,501,914091,29 - 0.2
F,9,"Fight For You","潘玮柏",20,,639、641,B - 一轨长条开始、四轨长条开始,B - 一轨长条中间、四轨长条中间,639,1297,2252837,52 + 0.0
S,9,"Somebody Told Me","Charlie Puth",,,1103、1105,B - 二轨长条中间,B - 一轨长条右滑、四轨单点,560,1223,1981271,40 + 0.0
,,"I am YOU","Stray Kids",,,193、195,A - 四轨单点,A - 二轨单点,503,896,1634146,43 - 0.2
,,"觅","王喆",,,436,B - 二轨长条左滑,B - 三四轨滑键,421,938,2004332,46 - 0.5
,,"长腿叔叔","袁娅维",,红色,341,B - 二轨单点,B - 一轨单点,171,391,781660,27 + 0.0
,,"完美体贴","新乐尘符/李思雨/林俊呈",,红色,366、366,B - 三轨单点（cool）、二轨单点,B - 二轨单点、三轨单点,235,463,1015473,35 + 0.3
,,"魂不守舍","朱星杰",,红色,172、177、333、338,A - 一轨长条右滑,A - 二轨长条左滑,260,555,1076546,33 + 0.0
M,6,"莫名奇妙爱上你","朱主爱",,,354,B - 一轨长条开始,B - 四轨单点,324,672,1205936,27 + 0.4
,,"幸福症候群","nanawoakari",,,105、106、107、108、109,A - 三轨单点,A - 二轨单点,351,817,1654079,39 + 0.0
M,9,"MK Circus","Dough-Boy/王嘉尔",,,239,A - 二轨单点、三轨单点,A - 三轨单点,429,998,1978976,48 + 0.1
,,"倾杯","SING女团",,,652,B - 二轨单点、三轨单点,B - 一轨单点,384,723,1326548,34 + 0.2
,,"365","Zedd/Katy Perry",,红色,262,B - 四轨单点,B - 四轨单点,188,379,777549,32 - 0.5
Z,6,"再快乐一点","张韶涵",,红色,805,B - 一轨长条开始、三轨长条开始,B - 一轨单点,452,984,1390474,38 - 0.5
,,"BET","Da-iCE",,,271,B - 三轨单点,B - 四轨单点,271,608,1107728,29 + 0.0
L,6,"绿色","陈雪凝",,红色,355,B - 二轨单点,B - 三轨长条开始,286,522,1028670,31 - 0.5
,,"不念则忘","音阙诗听/赵方婧",,红色,356,B - 一轨长条开始,B - 一轨单点,266,525,899451,27 - 0.1
,,"勇往直前恋上你","王霏霏/赵天宇",,红色,93,A - 一轨单点,A - 二轨单点,178,368,877950,33 - 0.5
H,7,"坏女孩","陈嘉桦",,,166、583,A - 三轨长条开始,A - 二轨单点,400,988,1635243,37 - 0.3
,,"豆你玩","李子璇",,红色,301、301、302、302、303、304、304、305、305、306,B - 四轨单点（cool）、四轨单点,B - 二一轨滑键、四轨单点（cool）,276,454,1178755,43 + 0.0
R,6,"Ring Ding Dong","SHINee",,红色,144、144、404、404,A - 一轨单点（cool）、二轨单点,A - 一轨长条右滑、四轨长条结尾,265,576,1254786,40 + 0.2
,,"Radiant","TANGRAM",,,208、209、210、758、759、760,A - 四轨单点,A - 一轨长条结尾、三轨长条右滑,560,1151,2025761,47 - 0.4
S,9,"SUPERMOON","HIROOMI TOSAKA",,,215、630,A - 一轨长条右滑,A - 三轨长条右滑,450,865,1689788,41 + 0.4
,,"Last One Standing","Simple Plan",,,301、820,A - 一轨长条开始、四轨长条中间,A - 二轨长条结尾、四轨长条结尾,494,1332,2299398,55 + 0.3
,,"Turn Up","周汤豪",,红色,183、491,A - 一轨长条结尾,A - 四轨单点,289,587,1112554,35 + 0.0
,,"She is","OVAN/SHAUN",,红色,150,A - 二轨长条中间,A - 二轨单点,241,385,744682,29 + 0.1
,,"朝代","排骨教主",,红色,128、301,A - 三轨长条结尾,A - 四轨长条左滑,227,477,987677,33 - 0.4
,,"HERO","李子璇",,红色,99,A - 三轨长条开始,A - 四轨单点,269,514,1114001,40 - 0.2
,,"两小无猜","小木",50,红色,511,B - 三轨长条中间,B - 二轨单点,261,597,1158709,33 - 0.5
D,10,"Dancing on","FTISLAND",,,224、843,A - 三轨单点,A - 四轨长条左滑,647,1273,2225428,45 - 0.1
,,"原点","徐梦圆",,,1128,B - 三轨长条开始,B - 四轨单点,606,1244,1759016,39 + 0.1
,,"不逃","罗志祥",,红色,132,A - 一轨单点,A - 三轨单点,221,429,903510,30 + 0.4
,,"孤注一掷的舞者","DOES",,,765,B - 三轨长条右滑,B - 一轨长条中间、四轨长条中间,573,1120,2029056,45 - 0.2
K,10,"克罗地亚第二狂想曲","Various Artists",,蓝色,1248,B - 二轨长条开始、四轨长条中间,B - 二一轨滑键、四轨单点,1131,2314,5039920,54 - 0.2
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,724,B - 三轨单点、四轨长条中间,B - 一轨长条右滑、三四轨滑键,426,863,1747248,45 - 0.2
H,9,"Hypnotic","Zella Day",,,249、674,A - 四轨长条左滑,A - 一轨单点、三轨长条右滑,642,1296,2403591,41 + 0.1
C,6,"藏不住","BY2/萧秉治",,,694,B - 一轨单点,B - 二轨单点,324,748,1234731,27 - 0.3
,,"I Got You","Bebe Rexha",,红色,279,B - 一轨单点、三轨单点,B - 一轨单点、二轨单点（cool）,191,406,886404,40 + 0.0
,,"我的告白","王栎鑫/周文杰",,,773、778,B - 三轨长条右滑,B - 四轨长条左滑,614,1063,1875235,48 + 0.2
,,"Focus","TANGRAM",,,158、347、579,A - 四轨单点,A - 二轨单点、三轨单点,277,660,1456088,32 + 0.0
